Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,94,
Armenia,86.2,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,80,"Source: Australian Needle and Syringe Program Survey"
Azerbaijan,80.6,
Bangladesh,83.9,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,91.6,
Benin,94.6,
Bosnia and Herzegovina,79.4,
Bulgaria,71.1,
Canada,93.1,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,86.4,"Source: National HIV sentinel surveillance"
Czech Republic,88.1,"Source: Czech National Monitoring Centre for Drugs and Drug Addiction"
Democratic Republic of the Congo,51,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,31.5,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,98.8,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
Georgia,90.6,
Germany,91.7,"Source: BBS"
Greece,85.7,"Source: Greek Reitox focal point of the EMCDDA (from people entering OSST)"
Hungary,85.5,
India,86.4,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,88.5,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),73.3,"Source: IBBS, 2019"
Kazakhstan,52.7,"Source: Behavioral surveillance, 2018"
Kenya,87.9,"Source: Poll booth survey 2017"
Kyrgyzstan,80.9,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Lithuania,65.2,"Source: Lithuanian Centre for Communicable Diseases and AIDS, 2017"
Madagascar,69.2,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable, Année 2016"
Malaysia,79.5,"Source:  Behavioural Surveillance Survey, 2017"
Mauritius,93.3,"Source:  IBBS among PWID in 2017"
Mexico,71.5,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,92.3,"Source: Bio-behavioural Survey, RDS sampling method"
Morocco,74.5,"Source: Étude RDS auprès des UDI, 2010, 2012 et 2014"
Myanmar,90.8,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,97.6,"Source:  Integrated biological and behavioural Surveillance Survey 2017"
Nigeria,70.8,
Pakistan,72.4,
Philippines,64,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,99.2,
Romania,33.2,
Senegal,71.7,
Serbia,83,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Sierra Leone,39.1,
Sweden,75,
Switzerland,56.2,
Tajikistan,55.7,"Source: Behavioral surveillance, 2018"
Thailand,87.8,"Source: Integrated Bio-Behavioral  Survey (IBBS) using Respondent Driven Sampling (RDS) Method"
The former Yugoslav Republic of Macedonia,94.4,"Source: Respondent driven sampling among PWID in the capital city, 2017."
Tunisia,90.9,"Source: Enquête sérocomportementale auprès des UDI réalisée en 2017-2018"
Ukraine,96.6,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,32,"Source: UAM Survey of PWID"
United Republic of Tanzania,84.6,
United States,36,"Source: National HIV Behavioral Surveillance System (NHBS)"
Uzbekistan,84.4,
Viet Nam,98.2,"Source: HSS+"
