Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Argentina,27.8,
Bangladesh,1.4,"Source: 1. Govt. of Bangladesh. (2011). National HIV Serological Surveillance, 9th Round Technical Report, 2011 Bangladesh. National AIDS/STD Program, Directorate General of Health Services, Ministry of Health and Family Welfare, Govt. of Bangladesh: Data Collection: Dec. '10-Jun. '11; 2. icddr,b, 2015. Serological survey (unpublished): Data collection: May, 2015-Jun, 2015"
Belgium,0,"Source: Data extracted from activity report 2015 community-based services for sex workers"
Bolivia (Plurinational State of),19.7,"Source: For transgenders: El estudio de vigilancia se segunda generación en población transgénero del año 2012, permite estimar la prevalencia de VIH en este grupo poblacional sobre una muestra de 492 mujeres trans con ruebas de VIH"
Colombia,20.1,
Czech Republic,0,"Source: The Bliss without Risk (NGO)"
Fiji,1.8,"Source: IBBS"
Germany,0,"Source: Cross-sectional study KABP-Surv STI"
Guyana,10.4,"Source: Bio-behavioural Surveillance survey"
Honduras,10,"Source: Base de datos VICIT WEB"
Mexico,15.5,"Source: 1. Bautista-Arredondo S., Colchero M.A., Cortés M.A., Sosa-Rubí S.G., Romero M. Encuesta de seguimiento y análisis para la evaluación de impacto de las estrategias de prevención de VIH/SIDA. Reporte a FUNSALUD, Marzo 2014. 2. Juan Pablo Gutiérrez, Aurora Franco Nuñez, Diana Nicte-Há Sansores Martínez, Andrey Ryo Shiba Matsumoto.. Informe técnico analítico sobre  la prevalencia de vih; así como factores de riesgo y vulnerabilidad,  personas que se dedican al trabajo sexual; y en personas transexuales y personas transgénero. INSP. México, 2012"
Nepal,9.1,"Source: Two separate surveys for MSM/MSW and FSW has been conducted in Kathmandu Valley in 2017 respectively. In 2017, IBBS was conducted among MSM/TG in Pokhara"
Pakistan,5.9,"Source: IBBS"
Panama,18.2,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Paraguay,28.5,"Source: Estudio de Prevalencia del VIH y sifilis y comportamientos de riesgo en poblacion trans 2014. Estudio de Prevalencia del VIH/Sifilis y comportamientos de riesgo en Mujeres trabajadoras sexuales 2014"
Peru,7.8,"Source: Hoja de Monitorización de Actividades - HMA de la Dirección de Prevención y Control de VIH-SIDA, Enfermedades de Transmisión Sexual y Hepatitis - DPVIH"
Philippines,2.5,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Samoa,0,"Source: Sentinel surveillance, 2018"
Serbia,10.5,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Spain,20,
Suriname,60,"Source: BSS among female sex workers and men who have sex with men and trans women Study implemented in Paramaribo and surrounding areas"
Uruguay,20,"Source: Reporte mensual de control de salud de Trabajadoras y trabajadores sexuales. Policlínicas de ITS - ASSE de todo el país"
Zimbabwe,31.1,"Source: Special Study, 2019"
