Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,26 000,"Region: Kabul, Herat, Mazar, Jalalabad, Kunduz, Faizabad, Kandahar and Zaranj; Method: Key informant interview, mapping and enumeration with revers tracking method (RTM), Multiplier method, Capture recapture, Wisdom of the crowds and anchored multiplier; Source: PSE survey"
Albania,6300,"Region: National; Method: Capture-recapture and multiplier; Source: Institute of Public Health"
Argentina,6300,"Method: Literature review"
Armenia,9000,"Region: National; Method: Multiplier methods (service multiplier and unique object multiplier), Wisdom of the Crowds, and SS-PSE"
Australia,79 100,"Region: National; Source: https://kirby.unsw.edu.au/sites/default/files/kirby/report/NSP-NMDC_Report-2016.pdf"
Azerbaijan,60 300,"Region: National; Method: Service and unique object multiplier and SS-PSE; Source: Sentinel surveillance"
Bangladesh,33 100,"Region: National; Method: Mapping and extrapolation; Source: Size Estimation Survey for Key Populations in Bangladesh, 2015"
Belarus,66 500,"Region: National; Method: Multiplier, NSUM and Census"
Belgium,25 300,"Region: National; Method: Multiplier; Source: Bollaerts K, Aerts M, Sasse A. Improved benchmark-multiplier method to estimate the prevalence of ever-injecting drug use in Belgium, 2000–10. Arch Public Health. 2013; 71(1): 10."
Bosnia and Herzegovina,12 500,"Region: National; Method: Multiplier and consensus meeting"
Brazil,227 300,"Region: National; Method: Household survey; Source: KAP study: PCAP 2013"
Bulgaria,10 000,"Region: National; Method: Expert opinion"
Burkina Faso,100,"Region: Kadiogo; Method: PLACE"
Cabo Verde,100,"Region: Praia Assomada, Santa Cruz, Sal, Mindelo; Source: Etude socio comportamentale et de prevalence VIH en usagers de drogues,"
Cambodia,3202,"Region: National; Method: Capture-recapture; Source: IBBS, 2017"
Cameroon,1500,"Region: Yaoundé, Douala, Baffousam, Bamenda, Bertoua, Buea, Ebolowa, Garoua, Kribi, Limbe, Maroua and Ngaoundere; Method: Programmatic mapping; Source: Cartographie programmatique et estimation de taille des Travailleuses de Sexe, des Hommes ayant des rapports sexuels avec des Hommes, les Usagers de Drogue et les Adolescent(e)s et jeunes vulnérables au VIH au Cameroun"
Canada,171 900,"Region: National ; Method: Multiplier"
Colombia,15 100,"Region: Armenia, Bogotá, Medellín, Pereira y Cúcuta; Method: Capture-recapture and expansion factors"
Congo,400,"Region: Brazzaville et Pointe-Noire; Method: Programmatic mapping; Source: La cartographie programmatique des populations clés les PS, HSH et CDI les plus exposées à l'infection du VIH en République du Congo"
Czech Republic,43 700,"Region: National; Method: Service multiplier; Source: Services clients (2017 data) and Multiplier study (2016)"
Côte d'Ivoire,2600,"Region: Bouaké, San-pedro et Yamoussoukro; Method: Unique object multiplier; Source: Rapport d'estimation de la taille et d'Enquête bio comportementale chez les consommateurs de Drogue Injectables en Côte d'Ivoire"
Democratic Republic of the Congo,155 800,"Region: National; Method: Objet unique, Événement social and extrapolation; Source: Rapport de l'enquête sur la Cartographie programmatique et Estimation de taille des populations clés exposées au risque du VIH/Sida et des IST dans 12 Provinces de la RDC"
Denmark,13 000,"Method: Capture-recapture"
Dominican Republic,900,"Region: Santo Domingo and Santiago; Source: Informe de Resultados Proyecto sobre el Estudio del Problema de la Heroína en la República Dominicana"
Egypt,93 300,"Region: 3 provinces (Cairo, Alexandria and Menia); Method: Mapping; Source: 2014 Population Size Estimation"
Estonia,8600,"Region: National; Method: Maximum likelihood and Bayesian approaches; Source: Raag M, Vorobjov S, Uusküla A. Prevalence of injecting drug use in Estonia 2010-2015: a capture-recapture study. Harm Reduct J 2019;16(1):19. doi: 10.1186/s12954-019-0289-3."
Finland,16 000,"Region: National; Method: Expert opinion; Source: Hospital discharge register, national police information system, register of drivers caught driving under the influence of drugs and hepatitis C cases in the national infectious diseases register"
France,81 000,
Georgia,52 500,"Region: National; Method: NSUM, Capture-recapture and Multiplier-Benchmark methods"
Greece,17 200,"Region: National; Method: Capture-recapture; Source: Greek Reitox Focal Point of the EMCDDA"
Guinea,1800,"Region: Conakry; Method: Peer approach"
Hungary,5700,"Region: National; Method: Capture-recapture; Source: National Centre for Epidemiology"
India,127 500,"Region: National; Source: Programme data"
Indonesia,33 500,"Source: Technical report of size estimation of HIV key population 2016"
Iran (Islamic Republic of),186 686,"Region: National; Method: NSUM"
Ireland,16 400,"Region: National; Source: 'Incidence of hepatitis C among people who inject drugs in Ireland' Carew et al. Hepatology, Medicine and Policy (2017) 2;7"
Israel,16 000,
Japan,519 700,
Kazakhstan,120 500,"Region: National; Method: Census and enumeration, capture-recapture and multiplier"
Kenya,16 000,
Kuwait,2300,"Region: Sabah medical area; Method: Registers in a medical center; Source: Addiction Center Data"
Kyrgyzstan,25 000,"Region: Ош, Жалал-Абад, Кызыл-Кия, Каракол, Токмок, Сокулук, Бишкек, Кара-Суу; Method: Multiplier and capture-recapture"
Lao People's Democratic Republic,1700,"Region: National; Method: AEM; Source: AEM"
Lebanon,3100,"Region: Great Beirut; Method: RDS; Source: Size Estimation, Risk Behavior Assessment, and Disease Prevalence in Populations at High Risk for HIV Infection in Lebanon"
Liberia,4100,"Region: 4 counties (Grand Bassa, Grand Gedeh, Monstserrado and Nimba); Method: Wisdom of Crowds, unique object multiplier, social events and SS-PSE; Source: Liberia 2017 Size Estimates"
Lithuania,5300,"Source: EMCDDA"
Madagascar,2300,"Region: National; Source: Spectrum"
Malaysia,75 000,"Region: National; Method: Multiplier and national consensus"
Mali,5600,"Region: District de Bamako et les régions de Kayes, Koulikoro, Sikasso, Ségou et Mopti; Method: RDS; Source: Rapport Estimation scientifique de la taille et cartographie des UDI en relation avec l'infection par le VIH au Mali"
Malta,900,"Source: UNODC"
Mauritius,11 700,"Region: National; Method: Mapping; Source: Programmatic Mapping & Size Estimation of KEY POPULATIONS in MAURITIUS"
Mexico,109 100,"Region: National; Method: % of adult population; Source: Encuesta nacional de hogares sobre consumo de droga en México"
Montenegro,1300,"Source: UNODC"
Morocco,1200,"Region: National; Method: Capture-recapture, service multiplier, unique object multiplier, SS-SPE and mapping; Source: Basée sur les études IBBS auprès des populations clés et les cartographies, données des programmes utilisant le code unique"
Mozambique,2200,"Region: Maputo city and Nampula; Method: Median of four estimation methods: Unique object multiplier, Literature review, sequential sampling and wisdom of the crowds."
Myanmar,93 000,"Region: National; Method: Triangulation of multiplier, SS-PSE, wisdom of the crowd, key informant and NGO best guess"
Nepal,30 900,"Region: National; Method: Mapping"
Netherlands,2300,"Region: National; Method: Surveys and registries"
New Zealand,15 000,"Region: National; Source: New Zealand Needle Exchange Programme"
Nigeria,200 000,"Region: 17 states; Methods: Programmatic mapping for 10 states, multiple source capture recapture for 7 states; Source: Key Population size estimation for 17 states"
Pakistan,113 400,"Region: National; Method: Mapping and extrapolation; Source: 2016 Key Population Size Estimation"
Philippines,7400,"Region: Cebu Province; Method: Unique Object Distribution, Program Multiplier; Source: Extrapolated on the inputs in the AIDS Epidemic Model (AEM), which were calculated based on the 2015 Size Estimation of Key Populations applied to the latest country census (2015 Philippine Statistics Authority)"
Republic of Moldova,36 900,"Region: National; Method: NSUM, multiplier, capture-recapture and extrapolation"
Romania,9000,"Region: Bucharest; Method: Multiplier; Source: Behavioural Surveillance Survey 2015"
Senegal,3100,"Region: National; Method: % of adult population and extrapolation; Source: Based on UDSEN 2011 and extrapolations"
Serbia,20 000,"Region: National; Method: Indirect methods/multiplier, capture-recapture; Source: http://www.batut.org.rs/download/publikacije/20140626IstrazivanjeStiloviZivotaE.pdf"
Seychelles,2500,"Region: Mahe, Praslin and La Digue; Method: Unique object and two service multiplier"
Sierra Leone,1500,"Region: National; Method: Enumeration; Source: POPULATION SIZE ESTIMATION OF KEY POPULATIONS AUGUST 2013"
South Sudan,17 100,"Region: Provinces"
Spain,9900,"Region: National; Source: Observatorio Español de la Droga y las Toxicomanías. Ministerio de Sanidad, Servicios Sociales e igualdad"
Sri Lanka,2700,"Region: National; Method: Mapping and extrapolation; Source: National Size Estimation of the Most at Risk Population for HIV in SriLanka"
Sweden,8000,"Source: Public Health Agency Sweden: "
Switzerland,42 000,"Region: National; Source:  http://www.suchtmonitoring.ch/de/page/6-5.html"
Tajikistan,22 200,"Region: National; Method: Survey; Source: Интегрированное биологическое и поведенческое исследование с оценкой численности людей, употребляющих инъекционные наркотики."
Thailand,42 000,"Region: National; Method: NSUM"
The former Yugoslav Republic of Macedonia,6800,"Region: National; Method: Multiplier; Source: http://iph.mk/wp-content/uploads/2019/03/RDS-LID-2018.pdf"
Timor-Leste,100,"Region: National; Method: NSUM service multiplier, wisdom of the crowd, SS-PSE and literature review,"
Togo,2700,"Region: Lomé Commune, Maritime, Plateaux, Centrale Kara et Savanes; Method: Programmatic mapping; Source: Etude sur la Cartographie programmatique chez les populations clés du Togo (PS, HSH, UDI et détenus)"
Tunisia,9000,"Region: 2 sites; Method: Mapping; Source: Cartographie des sites des UDI par les ONG et estimation de l'étude MoT"
Uganda,7400,"Region: National; Method: Literature review (meta-analysis) and Delphi method; Source: Synthesis, Consolidation and Building Consensus on Key Population Size Estimation Numbers in Uganda"
Ukraine,350 300,"Region: National; Method: Multiplier, capture-recapture and SS-PSE; Source: Alliance for Public Health"
United Republic of Tanzania,36 000,"Region: National; Method: Delphi method and consensus"
Uruguay,1600,"Region: National; Method: % of adult population; Source: Junta Nacional de Drogas"
Uzbekistan,48 000,"Region: National; Method: Multiplier and capture-recapture"
Viet Nam,189 000,"Region: National; Methods: AEM; Source: Estimated data taken from AEM file for modelling purpose."
Zambia,2300,"Region: National; Method: Enumeration and literature review; Source: Formative assessment of HIV risk and size estimation using census and enumeration methods among key populations most at risk of HIV in Zambia"
