Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,37.4,"Source: Integrated Biological and Behavioral Surveillance Survey"
Bangladesh,27.8,"Source: HIV surveillance 2016"
Cambodia,78.4,"Source: KHANA Quarterly report"
Iran (Islamic Republic of),25.1,"Source: IBBS and program monitoring data, 2019"
Kyrgyzstan,40.2,"Source: Данные дозорного эпидемиологического надзора и программные данные."
Malaysia,1.4,
Myanmar,33.9,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Pakistan,1.6,
Philippines,38.9,"Source: Behavioral surveillance survey (IHBSS)"
Republic of Moldova,35.5,"Source: Behavioral Surveillance, 2017"
Seychelles,73.8,
Tajikistan,67.2,"Source: Behavioral surveillance, 2018"
The former Yugoslav Republic of Macedonia,68.9,
Uganda,10,"Source: Behavioural Surveillance Survey (Rapid assessment of people who inject drugs, UHRN 2017)"
Viet Nam,24.1,"Source: HSS +"
