Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Afghanistan,24 000,"Source:GARPR 2002- 2014",240 000,"Source:GARPR 2002- 2014",100 000,"Source:GARPR 2015",470 000,"Source:GARPR 2016",210 000,"Source:GAM_2018",43 000,"Source:GAM_2018",140 000,"Source:GAM_2019",,
Albania,,,,,,,,,,,,,4 100 000,"Source:GAM_2020",,
Algeria,6 000 000,"Source:GARPR 2015",12 000 000,"Source:GARPR 2015",16 900 000,"Source:GARPR 2015",,,,,25 400 000,"Source:GAM_2018",,,,
Angola,,,,,,,,,2 900 000,"Source:GAM 2017 validated records",3 300 000,"Source:GAM_2018",,,,
Antigua and Barbuda,300 000,"Source:GARPR 2002- 2014",360 000,"Source:GARPR 2002- 2014",,,,,,,460 000,"Source:GAM_2018",,,,
Argentina,501 000 000,"Source:GARPR 2015",,,712 000 000,"Source:GAM_2019",805 000 000,"Source:GAM_2019",625 000 000,"Source:GAM_2019",,,,,,
Armenia,1 100 000,"Source:GARPR 2002- 2014",1 100 000,"Source:GARPR 2002- 2014",1 800 000,"Source:GARPR 2015",,,1 900 000,"Source:GAM 2017 validated records",2 200 000,"Source:GAM_2018",,,2 900 000,"Source:GAM_2020"
Azerbaijan,,,13 400 000,"Source:GARPR 2002- 2014",14 200 000,"Source:GARPR 2015",,,,,,,,,,
Bangladesh,980 000,"Source:GARPR 2002- 2014",3 500 000,"Source:GARPR 2002- 2014",2 900 000,"Source:GARPR 2015",2 600 000,"Source:GARPR 2016 pending country verification",2 300 000,"Source:GAM 2017",310 000,"Source:GAM_2018",6 100 000,"Source:GAM_2019",,
Barbados,6 200 000,"Source:GARPR 2002- 2014",5 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Belarus,12 500 000,"Source:GARPR 2002- 2014",11 700 000,"Source:GARPR 2002- 2014",16 000 000,"Source:GARPR 2015",,,12 900 000,"Source:GAM 2017 validated records",16 300 000,"Source:GAM_2018",,,,
Belize,830 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Benin,11 700 000,"Source:GAM_2018",3 200 000,"Source:GAM 2017 validated records",3 900 000,"Source:GAM_2018",4 400 000,"Source:GAM_2018",3 000 000,"Source:GAM_2018",6 400 000,"Source:GAM_2018",1 800 000,"Source:GAM_2019",3 200 000,"Source:GAM_2020"
Bolivia (Plurinational State of),4 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Botswana,,,,,88 800 000,"Source:GAM_2019",107 000 000,"Source:GAM_2019",98 300 000,"Source:GAM_2019",101 000 000,"Source:GAM_2019",,,,
Brazil,685 000 000,"Source:GARPR 2002- 2014",,,804 000 000,"Source:GARPR 2015",,,,,772 000 000,"Source:GAM_2018",699 000 000,"Source:GAM_2019",677 000 000,"Source:GAM_2020"
Bulgaria,6 800 000,"Source:GARPR 2016 pending country verification",8 700 000,"Source:GARPR 2016 pending country verification",9 900 000,"Source:GARPR 2016 pending country verification",9 900 000,"Source:GARPR 2016 pending country verification",,,,,,,,
Burkina Faso,28 100 000,"Source:GARPR 2015",7 800 000,"Source:GARPR 2015",,,,,,,18 000 000,"Source:GAM_2019",,,9 200 000,"Source:GAM_2020"
Burundi,2 100 000,"Source:GARPR 2002- 2014",1 800 000,"Source:GARPR 2002- 2014",290 000,"Source:GARPR 2015",,,,,,,,,,
Cabo Verde,17 000,"Source:GARPR 2002- 2014",1 800 000,"Source:GARPR 2002- 2014",2 300 000,"Source:GARPR 2015",,,,,,,,,,
Cambodia,5 200 000,"Source:GARPR 2002- 2014",,,,,8 200 000,"Source:GAM_2020",,,,,,,,
Cameroon,15 700 000,"Source:GARPR 2002- 2014",14 800 000,"Source:GARPR 2015",,,,,,,,,,,,
Chad,6 300 000,"Source:GARPR 2002- 2014",4 600 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Chile,137 000 000,"Source:GARPR 2002- 2014",,,,,125 000 000,"Source:GAM 2017 validated records",119 000 000,"Source:GAM_2018",176 000 000,"Source:GAM_2019",208 000 000,"Source:GAM_2019",206 000 000,"Source:GAM_2020"
China,554 000 000,"Source:GARPR 2002- 2014",714 000 000,"Source:GARPR 2002- 2014",978 000 000,"Source:GARPR 2015",,,1 040 000 000,"Source:GAM_2018",,,1 200 000 000,"Source:GAM_2019",1 310 000 000,"Source:GAM_2020"
Colombia,99 300 000,"Source:GARPR 2002- 2014",84 700 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Comoros,170 000,"Source:GARPR 2002- 2014",230 000,"Source:GARPR 2002- 2014",270 000,"Source:GARPR 2015",,,40 000,"Source:GAM 2017",150 000,"Source:GAM_2018",160 000,"Source:GAM_2019",140 000,"Source:GAM_2020"
Costa Rica,18 400 000,"Source:GARPR 2002- 2014",,,12 200 000,"Source:GAM_2018",,,,,,,50 000 000,"Source:GAM_2020",,
Croatia,11 200 000,"Source:GARPR 2002- 2014",14 400 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Cuba,63 000 000,"Source:GARPR 2002- 2014",63 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Côte d'Ivoire,13 800 000,"Source:GARPR 2016 pending country verification",8 300 000,"Source:GAM_2018",,,,,,,,,,,,
Democratic Republic of the Congo,2 700 000,"Source:GARPR 2002- 2014",18 700 000,"Source:GARPR 2016",30 400 000,"Source:GARPR 2016",23 400 000,"Source:GAM_2020",12 500 000,"Source:GAM_2020",18 700 000,"Source:GAM_2020",,,,
Djibouti,870 000,"Source:GARPR 2002- 2014",,,270 000,"Source:GARPR 2015",,,,,,,,,,
Dominica,180 000,"Source:GARPR 2002- 2014",,,,,,,,,93 000,"Source:GAM_2018",,,2 000 000,"Source:GAM_2020"
Dominican Republic,9 300 000,"Source:GARPR 2002- 2014",4 000 000,"Source:GAM_2018",5 700 000,"Source:GAM_2018",10 400 000,"Source:GAM_2018",12 200 000,"Source:GAM_2018",14 700 000,"Source:GAM_2018",37 200 000,"Source:GAM_2020",40 900 000,"Source:GAM_2020"
Ecuador,,,,,6 600 000,"Source:GARPR 2015",,,,,24 900 000,"Source:GAM_2018",14 800 000,"Source:GAM_2019",16 000 000,"Source:GAM_2020"
El Salvador,41 200 000,"Source:GARPR 2002- 2014",46 600 000,"Source:GARPR 2002- 2014",45 100 000,"Source:GARPR 2015",54 200 000,"Source:GARPR 2016 pending country verification",,,48 200 000,"Source:GAM_2018",36 900 000,"Source:GAM_2019",33 300 000,"Source:GAM_2020"
Equatorial Guinea,1 700 000,"Source:GARPR 2002- 2014",7 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,<100,"Source:GAM_2020"
Eswatini,26 500 000,"Source:GARPR 2002- 2014",33 200 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Ethiopia,,,,,,,,,54 400 000,"Source:GAM 2017 validated records",,,10 600 000,"Source:GAM_2020",7 700 000,"Source:GAM_2020"
Fiji,,,190 000,"Source:GARPR 2002- 2014",150 000,"Source:GARPR 2015",,,510 000,"Source:GAM 2017",,,,,,
Gabon,12 300 000,"Source:GARPR 2015",10 100 000,"Source:GARPR 2015",4 800 000,"Source:GARPR 2015",,,,,,,5 600 000,"Source:GAM_2020",,
Gambia,,,,,3 900 000,"Source:GARPR 2015",,,,,,,,,1 000 000,"Source:GAM_2020"
Georgia,4 700 000,"Source:GARPR 2016 pending country verification",5 400 000,"Source:GARPR 2016 pending country verification",8 200 000,"Source:GARPR 2016 pending country verification",8 800 000,"Source:GARPR 2016 pending country verification",,,13 400 000,"Source:GAM_2018",,,14 200 000,"Source:GAM_2020"
Ghana,4 500 000,"Source:GARPR 2015",6 800 000,"Source:GARPR 2015",2 800 000,"Source:GAM 2017",4 700 000,"Source:GARPR 2016 pending country verification",6 600 000,"Source:GAM 2017",,,,,,
Grenada,,,160 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Guatemala,27 200 000,"Source:GAM 2017 validated records",32 800 000,"Source:GAM 2017 validated records",34 400 000,"Source:GAM 2017 validated records",,,10 000 000,"Source:GAM_2020",12 100 000,"Source:GAM_2020",11 300 000,"Source:GAM_2020",19 800 000,"Source:GAM_2020"
Guinea,2 300 000,"Source:GARPR 2002- 2014",2 600 000,"Source:GARPR 2002- 2014",3 300 000,"Source:GARPR 2015",,,2 300 000,"Source:GAM 2017",690 000,"Source:GAM_2018",8 800 000,"Source:GAM_2020",6 900 000,"Source:GAM_2020"
Guyana,3 300 000,"Source:GARPR 2015",,,,,,,,,,,,,,
Haiti,880 000,"Source:GARPR 2002- 2014",350 000,"Source:GARPR 2002- 2014",2 700 000,"Source:GAM 2017",2 700 000,"Source:GAM 2017",4 000 000,"Source:GAM_2018",,,,,,
Honduras,16 500 000,"Source:GARPR 2002- 2014",15 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
India,206 000 000,"Source:GARPR 2002- 2014",145 000 000,"Source:GARPR 2002- 2014",164 000 000,"Source:GARPR 2015",,,,,371 000 000,"Source:GARPR 2002- 2014",275 000 000,"Source:GAM_2019",,
Indonesia,36 900 000,"Source:GARPR 2002- 2014",,,,,55 400 000,"Source:GAM_2019",103 000 000,"Source:GAM_2019",75 200 000,"Source:GAM_2020",74 300 000,"Source:GAM_2020",,
Iran (Islamic Republic of),69 400 000,"Source:GARPR 2015",,,,,,,,,,,,,,
Jamaica,3 100 000,"Source:GARPR 2015",4 200 000,"Source:GAM 2017",4 300 000,"Source:GAM 2017",8 500 000,"Source:GAM_2018",2 800 000,"Source:GAM_2018",,,,,,
Jordan,1 000 000,"Source:GARPR 2002- 2014",1 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
