Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,112,"Source: National programme data, 2019"
Albania,42,"Source: Programme data, 2019"
Armenia,106,"Source: National programme data, 2019"
Australia,625,"Source: Needle and Syringe Program Minimum Data Collection"
Austria,464,"Source: ECDC 2017"
Azerbaijan,89,"Source: National programme data 2019"
Bangladesh,126,"Source: Program record of Save the children, Bangladesh"
Belarus,43,"Source: Отчет ГУ "
Belgium,37,"Source: Needle Exchange Programs"
Bosnia and Herzegovina,142,"Source: National Programme data 2016"
Bulgaria,52,"Source: ECDC 2017"
Cambodia,457,"Source: Friend International program data"
China,246,"Source: National programme data"
Colombia,22,"Source: Fondo Nacional de Estupefacientes"
Cyprus,22,"Source: ECDC 2017"
Czech Republic,147,
Democratic Republic of the Congo,1,"Source: Rapports programmatiques de l'ONG PSSP en 2013"
Dominican Republic,2,"Source: Estudio Proyecto sobre el Estado del Problema de la Heroína en la República Dominicana, elaborado por la OEA/CICAD y por el Consejo Nacional de Drogas (CND)"
Egypt,1,"Source: CSOs working under FHI360"
Estonia,195,"Source: National programme data 2018"
Finland,361,"Source: ECDC 2017"
France,115,"Source: ECDC 2017"
Georgia,76,"Source: Needle and syringe program database"
Greece,80,"Source: ECDC 2017"
Hungary,21,"Source: ECDC 2017"
India,366,"Source: NACP programme data as under Targeted Interventions"
Indonesia,3,"Source: National programme data 2018"
Iran (Islamic Republic of),43,"Source: National programme data"
Ireland,168,"Source: ECDC 2017"
Israel,14,"Source: National programme data"
Italy,27,"Source: ECDC 2017"
Kazakhstan,95,"Source: National M&E System - electronic database"
Kenya,137,"Source: NASCOP KP Programme Data"
Kyrgyzstan,170,"Source: National programme data 2018"
Lao People's Democratic Republic,3,"Source: National programme data 2017"
Latvia,93,"Source: ECDC 2017"
Lebanon,9,
Lithuania,28,"Source: ECDC 2017"
Luxembourg,288,"Source: ECDC 2017"
Madagascar,113,"Source: Rapport des ONGs touchant la prévention chez les CDI"
Malaysia,16,"Source: National programme data, 2019"
Mali,2,"Source: Rapport annuel CERKES 2018; Rapport annuel 2018 ARCAD SIDA"
Malta,200,"Source: ECDC 2017"
Mauritius,89,"Source: National programme data 2018"
Mexico,6,"Source: Numerator: SS/Censida. Jeringas distribuidas en el 2018. México, marzo 2019.; Organismos de la Sociedad Civil con trabajo en drogas inyectables,Fátima: Institución de Beneficencia Privada, Irapuato Vive, A.C., Programa Compañeros, A.C., Prevencasa, A.C., Acción Colectiva por los Derechos de las Minorías Sexuales, A.C., Centro de Servicios Ser, A.C. Integración Social Verter, A.C., Inspira Cambio, A.C.; SS/Programas Estatales en VIH, Sida e ITS (Coahuila, Colima, Michoacán, Nuevo León, Sonora, Zacatecas).; Centros de Integración Juvenil, A.C.; Denominator: SS/Conadic et. al.Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco 2016-2017. México: INPRFM, 2017. https://www.gohttps://www.gob.mx/salud%7Cconadic/acciones-y-programas/encuesta-nacional-de-consumo-de-drogas-alcohol-y-tabaco-encodat-2016-2017-136758b.mx/salud%7Cconadic/acciones-y-programas/encuesta-nacional-de-consumo-de-drogas-alcohol-y-tabaco-encodat-2016-2017-136758. Consultada 10 de enero 2018."
Mongolia,4,
Montenegro,144,"Source: Programme data from NGOs"
Morocco,120,"Source: Données des programmes de prévention auprès des PUD/PID"
Myanmar,369,"Source: Programme data"
Nepal,97,"Source: National programme data, 2019"
New Zealand,233,"Source: New Zealand Needle Exchange Programme"
Norway,312,"Source: ECDC 2017"
Pakistan,46,"Source: National programme data 2018"
Poland,0,
Portugal,116,"Source: Annual Exchange Syringes Report"
Republic of Moldova,62,"Source: National programme data, 2019"
Romania,75,"Source: ECDC 2017"
Senegal,3,"Source: National programme data, 2018"
Serbia,2,"Source: National HIV database"
Seychelles,6,"Source: National programme data 2018"
Slovakia,119,"Source: National Report of Slovakia for EMCDDA."
Slovenia,117,"Source: ECDC 2017"
Spain,130,"Source: ECDC 2017"
Sri Lanka,0,
Sweden,214,
Switzerland,139,"Source: Arnaud S, Jeannin A, Dubois-Arber F. Estimating national-level syringe availability to injecting drug users and injection coverage: Switzerland, 1996-2006. The International journal on drug policy [Internet]. 2011;22(3):226-232."
Tajikistan,200,"Source: National programme data 2018"
Thailand,11,"Source: Program Data from GF Report  2018 Program  implementation by  Raksthais  (CSO)  in 19 provinces of  GF project."
The former Yugoslav Republic of Macedonia,62,
Tunisia,49,"Source: Données des associations qui travaillent avec les UDI beneficiants du programme FM"
Ukraine,53,"Source: SYREX database (numerator) and IBBS 2018 (denominator)"
United Republic of Tanzania,15,"Source: National programme data 2017"
Uzbekistan,105,
Viet Nam,116,"Source: HSS+"
