Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,23.4,"Source: IBBS, 2012"
Armenia,39,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,32,"Source: Australian Needle and Syringe Program Survey. Behavioural survey of people who inject drugs"
Azerbaijan,11.2,"Source: Behavioral surveillance, 2018"
Bangladesh,32.8,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,57.3,"Source: Behavioural Surveillance Survey, 2017"
Belgium,26,"Source: Bollaerts K; Van Bussel J. Development and validation of a serological and behavioural study protocol to register Drugs Related Infectious Diseases -DRID, Scientific Institute of Public Health, Brussels, Belgium, 2012."
Benin,30.5,"Source: Enquête de Surveillance de Deuxième Génération (comportementale et biologique) 2015"
Bosnia and Herzegovina,88.3,
Bulgaria,29.4,
Canada,37,"Source: Unpublished data from I-Track: Enhanced Surveillance of Risk Behaviours among People who Inject Drugs, Phase 3 (2010-2012). Public Health Agency of Canada, Surveillance and Epidemiology Division, Centre for Communicable Diseases and Infection Control. March 2013."
China,56.6,"Source: Sentinel surveillance, 2019"
Comoros,43.8,"Source: Behavioral surveillance, 2018"
Democratic Republic of the Congo,27.2,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,2.3,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,39.9,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,79,"Source: Enquête ENA-CAARUD"
Georgia,36.4,"Source: Behavioural Surveillance Survey, 2017"
Germany,43.7,"Source: Bio-behavioural surveillance study in eight larger cities of Germany using RDS sampling"
Greece,50.3,"Source: Greek Reitox focal point of the EMCDDA"
Guinea,51,"Source: ESCOMB 2017"
Hungary,25.5,
India,77.4,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,47.2,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),34.9,"Source: IBBS, 2019"
Kazakhstan,53.1,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,59.1,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Latvia,49.2,
Lithuania,29.9,
Madagascar,42,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable,  2016"
Malaysia,25.7,"Source: Respondent Driven Sampling study among male PWID in 10 states, 2017"
Mauritius,44.2,"Source: IBBS on PWID 2017"
Mexico,28.1,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,64.6,"Source: Bio-behavioural Survey"
Morocco,27.6,"Source: Étude RDS 2015"
Myanmar,21.1,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,48.9,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey 2017"
Nigeria,52.6,
Pakistan,15.1,"Source: National IBBS Round V 2016"
Philippines,14.7,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,26.9,
Serbia,32.2,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia"
Seychelles,42,"Source: Behavioural Surveillance Survey, 2017"
Sierra Leone,32.1,
Sri Lanka,25.9,"Source: IBBS survey 2014"
Sweden,20,
Switzerland,65.3,
Tajikistan,36,"Source: Behavioral surveillance, 2018"
Thailand,46.3,"Source: Integrated Bio-Behavioral  Survey (IBBS)"
The former Yugoslav Republic of Macedonia,43.3,"Source: Behavioural Surveillance Survey, 2017"
Tunisia,46.7,"Source: Behavioural Surveillance Survey, 2017"
Uganda,3,"Source: Behavioural Surveillance Survey (Rapid Assessment on Condom use among PWIDs, UHRN 2017)"
Ukraine,46.7,"Source: National Integrated Bio-Behavioral Survey 2017"
United Republic of Tanzania,29.7,
United States,27,"Source: The National HIV Behavioral Surveillance System (NHBS) conducts surveillance for HIV risk behaviors among persons at highest risk for HIV infection."
Uzbekistan,44.6,
Viet Nam,41.9,"Source: HSS+ 2019"
