Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,4.8,"Source: National programme data, 2019"
Albania,11.2,"Source: MMT register"
Armenia,6.9,"Source: National programme data 2019"
Australia,31,"Source: Australian Needle and Syringe Program Survey"
Austria,57,"Source: ECDC 2017"
Azerbaijan,2.3,"Source: National programme data 2019"
Bangladesh,3.1,"Source: Save the Children"
Belarus,3.7,"Source: Данные  ГУ "
Belgium,27.7,"Source: ECDC 2017"
Bosnia and Herzegovina,11.3,"Source: National Programme data 2016"
Bulgaria,26,"Source: ECDC 2017"
Cambodia,22.1,"Source: MMT register and IBBS"
Croatia,55,"Source: ECDC 2017"
Cyprus,57.5,"Source: ECDC 2017"
Czech Republic,38.2,"Source: Annual Czech Drug Report 2018"
Denmark,50,"Source: ECDC 2017"
Estonia,13.1,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Finland,30,"Source: ECDC 2017"
France,80,"Source: ECDC 2017"
Georgia,48.7,"Source: BSS size estimation study and national programme data, 2018"
Germany,45.2,"Source: Pabst et al. 2013, Bundesamt für Statistik, Statistisches Jahrbuch 2013 and Bundesopiumstelle (BOPST). Bericht zum Substitutionsregister. Januar 2016, Bundesinstitut für Arzneimittel und Medizinprodukte"
Greece,57,"Source: ECDC 2017"
Hungary,20.6,"Source: ECDC 2017"
India,19.5,"Source: NACP programme data as under Targeted Interventions"
Indonesia,10.5,"Source: National programme data, 2018"
Iran (Islamic Republic of),13.4,"Source: National programme data, 2019"
Ireland,60.5,"Source: ECDC 2017"
Italy,29.3,"Source: ECDC 2017"
Kazakhstan,0.4,"Source: Electronic database for OST"
Kenya,26.4,"Source: NASCOP KP Programme Data"
Kyrgyzstan,4.4,"Source: National programme data, 2018"
Latvia,10.4,"Source: ECDC 2017"
Lebanon,49.7,"Source: National programme data 2015"
Lithuania,22.2,"Source: ECDC 2017"
Luxembourg,62,"Source: ECDC 2017"
Malaysia,85.3,
Malta,65,"Source: ECDC 2017"
Mauritius,53.6,"Source: National programme data 2018"
Mexico,9.3,"Source: Denominator:  SS/Conadic et. al. Usuarios de 12 a 65 años que se ha inyectado algún tipo de droga ilegal según sexo. En: Encuesta Nacional de Adicciones 2011: Reporte de Drogas. Editor: Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz (INPRFM). Primera Edición. México, 2012.; Numerator: Asistencia Médica Contra la Adicción S de RL de CV, Centros de Integración Juvenil, A.C., Clínica Integral de Tratamiento Contra las Adicciones SA DE CV, Profesionales Contra la Adicción SA de CV. México, marzo 2019."
Morocco,36.2,"Source: Données du programme de réduction des risques destinées aux usager de drogues"
Myanmar,21,"Source: Programme data, 2019"
Nepal,2.8,"Source: National programme data 2019"
Norway,83,"Source: ECDC 2017"
Poland,18,"Source: ECDC 2017"
Portugal,60,"Source: ECDC 2017"
Republic of Moldova,2.7,"Source: National programme data, 2019"
Romania,15,"Source: ECDC 2017"
Senegal,20.9,"Source: National programme data, 2019"
Serbia,28.3,"Source: Republican Fund for Health Insurance (RFHI)"
Seychelles,73.6,"Source: National programme data 2018"
Slovenia,17.1,"Source: ECDC 2017"
Spain,56,"Source: ECDC 2017"
Switzerland,67.7,
Tajikistan,2.7,"Source: National programme data 2018"
Thailand,6.9,"Source: 1. National OST monitoring report from  Department of Health Service Support, MOPH 2. National MMT monitoring report from NHSO"
The former Yugoslav Republic of Macedonia,26.6,"Source: National programme data 2018"
Ukraine,4.5,"Source:  OST programmatic data https://phc.org.ua/kontrol-zakhvoryuvan/zalezhnist-vid-psikhoaktivnikh-rechovin/zamisna-pidtrimuvalna-terapiya-zpt/statistika-zpt"
United Kingdom,39,"Source: ECDC 2017"
United Republic of Tanzania,24.2,"Source: National programme data, 2019"
Viet Nam,27.5,"Source: MMT program data"
