Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,5,"Source: National programme data, 2019"
Armenia,5.3,"Source: National programme data 2017"
Azerbaijan,1.1,"Source: National programme data 2017"
Bangladesh,3.2,"Source: Save the Children"
Bosnia and Herzegovina,11.6,"Source: National Programme data 2016"
Estonia,13.5,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Georgia,31.6,"Source: IBBSS among PWIDs to assess the size of opioid dependent PWIDs in the country"
Indonesia,33.9,"Source: Annual report of Directorate of Mental Health, MoH 2015"
Kazakhstan,0.3,"Source: Electronic database for OST"
Kenya,28,"Source: NASCOP KP Programme Data"
Kyrgyzstan,4.6,"Source: National programme data, 2018"
Malaysia,85.3,
Mauritius,61.6,"Source: National programme data 2018"
Mexico,9.8,"Source: Denominator:  SS/Conadic et. al. Usuarios de 12 a 65 años que se ha inyectado algún tipo de droga ilegal según sexo. En: Encuesta Nacional de Adicciones 2011: Reporte de Drogas. Editor: Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz (INPRFM). Primera Edición. México, 2012.; Numerator: Asistencia Médica Contra la Adicción S de RL de CV, Centros de Integración Juvenil, A.C., Clínica Integral de Tratamiento Contra las Adicciones SA DE CV, Profesionales Contra la Adicción SA de CV. México, marzo 2019."
Nepal,3,"Source: National programme data 2019"
Tajikistan,2.7,"Source: National programme data 2018"
Thailand,6.9,"Source: 1. National OST monitoring report from  Department of Health Service Support, MOPH 2. National MMT monitoring report from NHSO"
