Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,37.5,"Source: Integrated Biological and Behavioral Surveillance Survey"
Bangladesh,47.4,"Source: HIV surveillance 2016"
Cambodia,66.7,"Source: KHANA Quarterly report"
Iran (Islamic Republic of),22.7,"Source: IBBS and program monitoring data, 2019"
Kyrgyzstan,33.3,"Source: Данные дозорного эпидемиологического надзора и программные данные."
Malaysia,0,
Myanmar,24.7,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Pakistan,2.3,
Philippines,41.2,"Source: Behavioral surveillance survey (IHBSS)"
Republic of Moldova,16.2,"Source: Behavioral Surveillance, 2017"
Tajikistan,49.3,"Source: Behavioral surveillance, 2018"
The former Yugoslav Republic of Macedonia,70,
Uganda,5,"Source: Behavioural Surveillance Survey (Rapid assessment of people who inject drugs, UHRN 2017)"
Viet Nam,23.1,"Source: HSS +"
