Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Algeria,79.7,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie. AIDS Algerie/MSPRH/ONUSIDA - 2017"
Armenia,5.2,"Source: Integrated Biological and Behavioral Surveillance Survey"
Brazil,16.9,
Congo,10.6,"Source: Behavioral surveillance, 2018"
Côte d'Ivoire,22.3,"Source: Cartographie programmatique des HSH à Abidjan"
Lao People's Democratic Republic,74.7,
Mongolia,35.8,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Paraguay,17.1,"Source: Estudio de Prevalencia del VIH/Sifilis, Hepatitis y comportamientos de riesgo en HSH 2017"
Serbia,17.4,"Source: Seroprevalent and behavioral survey (bio-behavioral surveillance survey) by using RDS methodology."
Zimbabwe,11,"Source: BBS, 2019"
