Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,11 000,"Region: Kabul, Herat, Mazar,and Jalalabad; Method: Key informant interview, mapping and enumeration with revers tracking method (RTM), multiplier method, capture recapture method, wisdom of the crowed and anchored multiplier; Source: PSE survey 2019"
Angola,54 000,"Region: 5 provinces; Method: PLACE; Source: PLACE"
Antigua and Barbuda,800,"Region: St. John's; Method: Consensus upon reviewing IBBS data, community perspectives, and results of several size estimation methods including mapping, unique object multipliers, “wisdom of the crowds,” literature reviews, the sequential sampling size method, and the Delphi method."
Argentina,74 900,"Region: National; Method: Literature review"
Armenia,4600,"Region: National; Method: Unique object multiplier, Wisdom of crowd, Enumeration, and Literature review"
Australia,20 500,"Region: National; Method: Consolidation of the outreach statistics of localised sex worker community organisations"
Azerbaijan,31 900,"Region: National; Method: Service multiplier, Unique Object , Literature SS-PSE(RDS-A), Unique event & Consensus approach-Modified Delphi"
Bangladesh,140 000,"Region: National; Method: Mapping and extrapolation"
Belarus,20 000,"Region: National; Method: Unknown; Source: Отчет  "
Benin,28 800,"Region: National; Method: Literature review and individual interviews"
Bolivia (Plurinational State of),13 500,"Region: National; Method: Programmatic mapping and extrapolation; Source: Mapeo Programático y Social"
Bosnia and Herzegovina,4000,"Region: National; Method: Multiplier and consensus meeting"
Botswana,6700,"Region: 12 health districts (Boteti, Chobe, Greater Francistown. Greater Gaborone, Kgalagadi North, Kweneng West, Ngamiland, Okavango,Palapye,Selebi-Phikwe, Serowe and Tutume; Method: Mapping; Source: Mapping & Size Estimation of Select Key Populations in Botswana (2017)"
Brazil,1 401 600,"Region: National; Method: Household survey; Source: KAP study: PCAP 2013"
Bulgaria,10 000,"Region: Expert opinion"
Burkina Faso,21 900,"Region: National; Method: PLACE"
Burundi,51 500,"Region: National; Method: PLACE"
Cabo Verde,1400,"Region: Praia, Santa Cruz, Santa Catarina, Sal and Sao Vicente; Method: Enumeration; Source: Etude socio comportamentale et de prevalence VIH en travailleurs de sexe"
Cambodia,55 000,"Region: National; Method: Triangulation and consensus; Source: Based on IBBS 2019 and data triangulation with national  prevention database that used UIC"
Cameroon,70 500,"Region: National; Method: Programmatic mapping; Source: Rapport  cartographie programmatique et estimation de taille des travailleuses de sexe, des hommes ayant des rapports sexuels avec des hommes, les usagers de drogue et les adolescent(e)s et jeunes vulnérables au VIH au Cameroun"
Central African Republic,3900,"Region: Capitale (Bangui), préfectures (Berberati ; Bouar), sous-préfetures (Boali ; Carnot); Method: Wisdom of the masses, unique object multiplier and capture-recapture; Source: Enquête  sur la cartographie, l'estimation de la taille des professionnelles de sexe  et des hommes ayant des rapports sexuels avec d'autres hommes à Bangui, Boali, Bouar, Carnot et Berberati en République Centrafricaine en 2019"
Colombia,244 400,"Region: National; Method: MoT"
Comoros,1015,"Region: National; Method: Programmatic mapping; Source: Cartographie et Estimation de la taille des TS et HSH en Union des Comores"
Congo,9700,"Region: 5 cities (Pointe-Noire, Ouesso, Pokola and Dolisie); Method: Programmatic mapping; Source: RAPPORT DE LA CARTOGRAPHIE PROGRAMMATIQUE ET ESTIMATION DE LA TAILLE DES POPULATIONS CLES LES PLUS EXPOSEES AUX RISQUES DU VIH/SIDA"
Costa Rica,3000,"Region: Gran Área Metropolitana; Method: TLS and mapping"
Cuba,82 500,"Region: National; Method: Enumeration; Source: Encuesta de Indicadores de Prevención del vih/sida 2017"
Czech Republic,13 000,"Region: National ; Source: NGO Bliss without risk"
Côte d'Ivoire,10 900,"Region: Abidjan, Bouake and San Pedro"
Democratic Republic of the Congo,350 300,"Region: National; Method: Unique object and social event multiplier and RDS and extrapolation; Source: Rapport de l'enquête sur la Cartographie programmatique et Estimation de taille des populations clés exposées au risque du VIH/Sida et des IST dans 12 Provinces de la RDC"
Dominican Republic,97 800,"Region: National; Method: Literature review and multiplier; Source: Plan Estratégico Nacional 2015-2018, basado en el estudio de Kerrigan (2004)"
Ecuador,34 400,"Region: 11 cities:  Guayas, Pichincha, Esmeraldas, El Oro, Santo Domingo, Manabí, Loja, Morona Santiago, Imbabura, Sucumbíos and Chimborazo; Method: Programmatic mapping and extrapolation"
Egypt,23 000,"Region: National; Method: Mapping"
El Salvador,45 000,"Region: National; Method: Unique object multiplier"
Eritrea,1600,
Estonia,1000,"Region: Tallin; Method: Expert opinion"
Eswatini,4000,"Region: Mbabane/Manzini Corridor, Lavumisa, Piggs Peak and Nhlangano; Method: Unique object, service multiplier and NSUM; Source: Characterizing the HIV Prevention and Treatment Needs among Key Populations, including Men who Have Sex with Men and Female Sex Workers in Swaziland: From Evidence to Action June 2015"
Ethiopia,85 000,"Region: 89 towns in 9 regions and 2 administrative councils; Method: Key nformant and capture-recapture; Source: MULU/MARPs programmatic data (USAID Funded project-http://www.psi.org/publication/newsletter-mulumarps-hiv-prevention-project/)"
Fiji,900,"Region: National; Method: Systematic count and estimate scale-up ; Source: Integrated Biological Behavioural Surveillance Survey and Size Estimation of Sex Workers in Fiji: HIV Prevention Project"
Gabon,400,"Region: 5 regions; Method: Mapping; Source: Étude cartographique chez les PS dans 5 régions du Gabon"
Gambia,4700,"Region: Banjul; Method: RDS; Source: IBSS 2018 Data collection"
Georgia,6500,"Region: National; Method: NSUM, Census, Capture-recapture and service multiplier; Source: Population Size Estimation of Female Sex Workers In Tbilisi and Batumi, Georgia 2014"
Ghana,51 900,"Source: IBBS 2011"
Greece,900,"Region: National ; Source: Survey "
Grenada,1000,"Region: National; Method: Unknown; Source: Caribbean Vulnerable Community Coalition"
Guatemala,83 000,"Region: National; Method: Projected from the census and enumeration results from 2010; Source: Projected from the Estimación del tamaño de poblaciones en mayor riesgo y vulnerabilidad al VIH: hombres que tienen sexo con hombres y trabajadoras sexuales en seis ciudades de Guatemala using the XII Censo Nacional de Población y VII de Vivienda"
Guinea,14 200,"Region: National; Method: Mapping"
Guinea-Bissau,7900,"Region: Bissorã, Bafatá, Gabú e SAB; Method: Social event, wisdom of the crowds, capture-recapture, unique object multiplier and service multiplier; Source: Estudo Biológico e Sócio Comportamental e estimativa do tamanho nas populações mais expostas ao risco de infeção pelo VIH na República da Guiné-Bissau"
Guyana,5300,"Region: National; Method: PLACE, prgroamme data, census, wisdom of the crowds and expert opinion; Source: IBBS"
Haiti,70 300,"Region: Ouest, Sud, Artibonite and Nord-est; Method: Unique object and multiplier"
Honduras,22 800,"Region: National; Method: Extrapolation of program mapping data"
India,657 800,"Region: National ; Source: Programme data"
Indonesia,226 800,"Source: Technical report of size estimation of HIV key population 2016"
Iran (Islamic Republic of),90 000,"Region: National; Method: Consensus"
Ireland,1000,"Region: National ; Source: Kelleher P et al. Globalisation, Sex Trafficking and Prostitution: The Experiences of Migrant Women in Ireland. Immigrant Council of Ireland, 2009."
Jamaica,18 700,
Kazakhstan,21 000,"Region: National; Method: Multiplier; Source: Size estimation of CSW conducted as part of monitoring the prevalence of HIV in key populations"
Kenya,167 900,"Region: 34 counties in Kenya ; Method: Programmatic mapping"
Kiribati,100,"Region: South Tarawa-Betio; Method: Mapping; Source: Pacific Multi-Country Mapping and Behavioural Study: HIV and STI Risk Vulnerability among Key Populations"
Kyrgyzstan,7100,"Region: National; Method: Expert opinion, capture-recapture, direct and indirect multiplier"
Lao People's Democratic Republic,16 000,"Region: National; Method: AEM; Source: AEM"
Lebanon,4300,"Region: National; Method: Unique object multiplier, Wisdom of crowd, Enumeration, and Literature review ; Source: IBBS 2018"
Lesotho,7500,"Region: Maseru, Leribe, Mafeteng & Butha Buthe; Method: Service multiplier, Unique Object , Literature SS-PSE(RDS-A), Unique event & Consensus approach-Modified Delphi  ; Source: Preliminary Results of the Lesotho Integrated Biological and Behavioral Surveillance Survey, 2018"
Liberia,163 100,"Region: 9 counties (Montserrado, Grand Bassa, Grand Gedeh, Maryland, River Gee, Bong, Bomi, Margibi and Nimba Counties); Method:  Median of wisdom of crowds, unique object multiplier, social events and SS-PSE; Source: Liberia Size Estimate 2017"
Madagascar,191 200,"Region: National ; Source: Spectrum"
Malawi,36 400,"Region: National; Method: Programmatic mapping; Source: PLACE study"
Malaysia,37 000,"Region: National; Method: 1. Multiplier method 2. Enumeration method 3. National consensus; Source: SIZE ESTIMATION OF KEY POPULATIONS MALAYSIA 2018"
Mali,18 000,"Region: Bamako, Kayes, Koulikoro, Sikasso, Ségou et Mopti; Method: Mapping; Source: Cartographie et Estimation de la taille des Professionnelles de Sexe (PS) et des Hommes ayant des rapports Sexuels avec d'autres Hommes (HSH) couplées à l'étude bio-comportementale chez les HSH en matière de VIH au Mali"
Marshall Islands,300,"Region: Majuro Atoll; Method: Mapping; Source: Pacific Multi-Country Mapping and Behavioural Study: HIV and STI Risk Vulnerability among Key Populations"
Mauritania,300,"Region: Nouakchott, Nouadhibou et Rosso"
Mauritius,6200,"Region: National; Method: Mapping; Source: Programmatic Mapping & Size Estimation of KEY POPULATIONS in MAURITIUS"
