Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0.3,"Source: National program data"
Algeria,29.3,"Source: Bilan des activités des centres de dépistage du VIH/sida 2018"
Belarus,19.9,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Bulgaria,1,
Canada,7.7,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
Estonia,47.9,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Germany,2.9,"Source: 1) a longitudinal cohort study of MSM HIV seroconverters who were tested for HBV and HCV prevalence and incidence after being diagnosed with HIV and included in the cohort (data collected between 1996 and 2012); 2) self-reported data on HCV diagnosis in the recent 12 months among MSM with self-reported HIV infection (data collection between 11/2013 and 01/2014); 3) data on simultaneous diagnosis of HIV and HCV among MSM testing in Community-based voluntary counselling and testing centers in 2015 and 2016; 4) A multicenter biobehavioural survey among active IDU conducted between 2011 and 2014 in eight larger German cities. Dried blood spots were tested for HIV, HBV and HCV seromarkers."
Iran (Islamic Republic of),2.5,"Source: IBBS, 2019"
Kazakhstan,64.8,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,62.6,
Madagascar,5.4,"Source: Résultat final de l'ESBC auprès des CDI en 2016"
Myanmar,26.9,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,7.4,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Philippines,22.7,"Source: IHBSS"
Republic of Moldova,58.8,
Sri Lanka,0,"Source: Behavioral surveillance, 2018"
The former Yugoslav Republic of Macedonia,0,"Source: IBBS"
Ukraine,17.2,"Source: Integrated Bio-Behavioral Survey conducted by Alliance for Public Health."
Uzbekistan,15.5,
