Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Albania,8,"Source: Programme data, 2019"
Angola,100,"Source: Livros de registo dos Serviços Prisionais do Ministério do Interior"
Argentina,87.4,"Source: Servicios penitenciarios federal y bonaerense"
Azerbaijan,91.8,"Source: Programme data, 2019"
Belarus,83.4,"Source: Данные отчетности Департамента исполнения наказания Министерства внутренних дел Республики Беларусь."
Bulgaria,0.2,"Source: ECDC 2017"
Canada,97.8,"Source: Programme data, 2019"
Chile,88.7,"Source: Programme data, 2019"
Colombia,91.8,"Source: Información de fiduprevisora-inpec con corte a febrero 2020."
Costa Rica,79.8,"Source: Ministerio de Justicia y Paz"
Côte d'Ivoire,94.2,"Source: Registre de dépistage par les tests rapides"
Ecuador,89.7,"Source: Datos obtenidos del Ministerio competente de la rectoría de las cárceles a nivel nacional 2017"
Ghana,100,"Source: Program data, 2019"
Guatemala,58.4,"Source: Datos programáticos de las Unidades de Atención Integral / Personas con VIH estimadas de Spectrum."
Guyana,81.3,"Source: Routine programme data, 2018"
Haiti,100,"Source: Programme data, 2019 (Health Through Walls)"
Indonesia,0.3,"Source: Programme data 2017"
Iran (Islamic Republic of),66.1,"Source: Programme data, 2018"
Lesotho,80.1,"Source: Lesotho Correctional Service Information of Inmates on HIV Care, 2017"
Lithuania,30.7,"Source: ECDC 2017"
Luxembourg,73,"Source: ECDC 2017"
Malawi,100,"Source: Program data, 2019"
Mauritius,79.1,"Source: Prison department"
Panama,92.4,"Source: Clínicas de atención de los Centros Penitenciarios y proporcionados por el Programa de Salud Penitenciaria del Ministerio de Salud, año 2018"
Peru,81.1,"Source: Oficina de la Sub Dirección de Salud Penitenciaria INPE."
Romania,66.8,"Source: ECDC 2017"
Sao Tome and Principe,5.9,"Source: Behavioral surveillance"
Saudi Arabia,91.7,"Source: Programme data 2016"
Singapore,100,"Source: Based on data reported by Singapore Prison Service 2017"
South Africa,98.8,"Source: Programme data from the Department of Correctional Services (DCS)"
Tajikistan,97.4,"Source: Programme data, 2019"
Uganda,99.6,"Source: Programme data"
Ukraine,87.4,"Source: Programme data, Health care Center of the State Criminal Execution Service of Ukraine (HCC SCESU), 2019"
Zambia,100,"Source: Programme data, Zambia Correctional Service - 2019 Annual Report"
