Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Afghanistan,9 000 000,"Source:GARPR 2002- 2014",5 100 000,"Source:GARPR 2002- 2014",4 100 000,"Source:GARPR 2015",3 400 000,"Source:GARPR 2016",,,,,9 900 000,"Source:GAM_2019",,
Albania,,,,,,,,,,,,,1 300 000,"Source:GAM_2020",,
Algeria,800 000,"Source:GARPR 2015",430 000,"Source:GARPR 2015",390 000,"Source:GARPR 2015",,,,,570 000,"Source:GAM_2018",,,,
Angola,,,,,,,,,16 800 000,"Source:GAM 2017 validated records",16 800 000,"Source:GAM_2018",,,,
Antigua and Barbuda,690 000,"Source:GARPR 2002- 2014",1 100 000,"Source:GARPR 2002- 2014",,,,,,,37 000,"Source:GAM_2018",,,,
Argentina,370 000,"Source:GARPR 2015",,,140 000,"Source:GAM_2019",320 000,"Source:GAM_2019",190 000,"Source:GAM_2019",,,,,,
Armenia,4 200 000,"Source:GARPR 2002- 2014",3 900 000,"Source:GARPR 2002- 2014",5 000 000,"Source:GARPR 2015",,,2 300 000,"Source:GAM 2017 validated records",3 100 000,"Source:GAM_2018",,,1 400 000,"Source:GAM_2020"
Azerbaijan,,,5 200 000,"Source:GARPR 2002- 2014",6 400 000,"Source:GARPR 2015",,,,,,,,,,
Bangladesh,11 500 000,"Source:GARPR 2002- 2014",17 700 000,"Source:GARPR 2002- 2014",16 500 000,"Source:GARPR 2015",10 100 000,"Source:GARPR 2016 pending country verification",6 800 000,"Source:GAM 2017",6 800 000,"Source:GAM_2018",8 900 000,"Source:GAM_2019",,
Barbados,2 200 000,"Source:GARPR 2002- 2014",10 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Belarus,7 300 000,"Source:GARPR 2002- 2014",6 900 000,"Source:GARPR 2002- 2014",6 500 000,"Source:GARPR 2015",,,4 800 000,"Source:GAM 2017 validated records",4 700 000,"Source:GAM_2018",,,,
