Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Algeria,9.9,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie. AIDS Algerie/MSPRH/ONUSIDA - 2017"
Armenia,96.9,"Source: Integrated Biological and Behavioral Surveillance Survey"
Bangladesh,15.2,"Source: HIV surveillance"
Belarus,84,"Source: Отчет "
Brazil,22.4,"Source: National RDS Study on knowledge, attitudes and practices and prevalence of HIV, syphilis, Hepatitis B and C among female sex workers. Brazil, 2016"
Burkina Faso,46.8,"Source: Cartographie estimatif , enquête biocomportementale parmi les populations clés (PS, HSH, UD) au Burkina Faso, SP/CNLS-IST"
Cambodia,99.7,"Source: KHANA and RHAC"
Costa Rica,83.3,"Source: Estudio TRAC PSI-PASMO"
Côte d'Ivoire,96.2,"Source: EVALUATION DES INDICATEURS CLES DU PROGRAMME NATIONAL DE LUTTE CONTRE LE SIDA DESTINE AUX TRAVAILLEUSES DU SEXE (TS) EN COTE D'IVOIRE : UNE APPROCHE PAR LA METHODE LQAS"
Dominica,42.3,"Source: Programme  report"
Dominican Republic,16.8,"Source: Sistema de registro de Poblaciones Claves (SRPC)"
Guatemala,29,"Source: Bd de subvención VIH"
Guinea,65,"Source: Rapport de progrès de l'ONG Plan international Guinée"
Kazakhstan,89.6,"Source: База е-МиО и НБДИУК/ (Unique identifier data base. Programme data)"
Lao People's Democratic Republic,50.7,
Malawi,68,"Source: Burrows, D., McCallum, L., Parsons, D. & Falkenberry, H. (April, 2019). Global Summary of Findings of an Assessment of HIV Service Packages for Key Populations in Six Regions. APMG Health, Washington, DC."
Malaysia,40,
Morocco,54.9,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2019"
Myanmar,50.4,"Source: BBS and programme data, 2019"
Nepal,34.8,"Source: Routine programme data and Burrows, D., McCallum, L., Parsons, D. & Falkenberry, H. (April, 2019). Global Summary of Findings of an Assessment of HIV Service Packages for Key Populations in Six Regions. APMG Health, Washington, DC."
Nicaragua,88.4,
Niger,58.3,"Source: Enquête de surveillance de seconde génération chez les populations clés and programme data"
Pakistan,0.7,"Source: IBBS Round V conducted in 2016"
Panama,99,"Source: Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Philippines,71.8,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillancce (IHBSS)"
Republic of Moldova,60.7,
Samoa,100,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Sao Tome and Principe,22.6,"Source: IBBS survey and program data"
Senegal,65.5,"Source: Enquête Combinée"
Singapore,98,"Source: Department of Sexually Transmitted Infections"
South Sudan,16.3,"Source: Behavioral surveillance, 2018"
Sri Lanka,12.7,"Source: Behavioral surveillance, 2018"
Suriname,64.1,"Source: Behavioral surveillance, 2018"
Tajikistan,47.3,"Source: Behavioral surveillance, 2018"
Thailand,82.09,"Source: Integrated Biological Behavior Surveillance (IBBS) Non venue-based SW"
The former Yugoslav Republic of Macedonia,80.9,"Source: Report from the biobehavioral survey and assessment of population size of sex workers in Macedonia, 2018"
Tunisia,7.9,"Source: Enquête sérocomportementale de 2018"
United Republic of Tanzania,20,"Source: Behavioral surveillance, 2018 and Burrows, D., McCallum, L., Parsons, D. & Falkenberry, H. (April, 2019). Global Summary of Findings of an Assessment of HIV Service Packages for Key Populations in Six Regions. APMG Health, Washington, DC"
Venezuela (Bolivarian Republic of),8.2,"Source: Prevalencia de Infección VIH, Sífilis y Comportamientos sexuales de riesgo de población de Trabajadoras Sexuales en cuatro estados de la República Bolivariana de Venezuela"
Viet Nam,24.8,"Source: HSS+ 2018"
Zimbabwe,34.5,"Source: Special study"
