Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,50.6,
Algeria,69.9,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie, 2017"
Angola,84.9,"Source: Behavioural Surveillance Survey"
Armenia,99,"Source: Integrated Biological and Behavioral Surveillance Survey"
Azerbaijan,32.3,"Source: Behavioral surveillance"
Bangladesh,69.1,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,84.5,"Source: Behavioural Surveillance Survey 2017"
Belize,90,
Benin,87.2,"Source: Behavioural Surveillance Survey 2017"
Bolivia (Plurinational State of),81.4,
Bulgaria,93.5,
Burkina Faso,89.1,"Source: Behavioural Surveillance Survey"
Burundi,91.3,
Cabo Verde,75.5,
Central African Republic,97.7,"Source: Rapport d'offre de tests de dépistage de l'Unité de Dépistage Anonyme du Centre National de Référence des IST et de la Thérapie Antirétrovirale"
Chad,30.8,"Source: Enquête de séroprévalence et cartographie chez les PS dans 15 villes au Tchad en 2009"
Chile,97.5,"Source: Estudio de prevalencia de VIH en trabajadoras sexuales "
China,93.3,"Source: Sentinel surveillance"
Colombia,97.2,"Source: Estudio de comportamiento sexual en mujeres trabajadoras sexuales"
Comoros,26,"Source: Behavioral surveillance, 2018"
Congo,86.3,"Source: Behavioral surveillance, 2018"
Cuba,77.2,"Source: Encuesta de indicadores de prevencion 2017"
Côte d'Ivoire,25.4,"Source: Enquete biologique et comportementale du vih et des ist chez les travailleuses du sexe de la ville de katiola en cote d'ivoire (2019)"
Democratic Republic of the Congo,77.6,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Djibouti,67,"Source: Enquête intégrée bio-comportementale sur le VIH-SIDA chez les professionnelles de sexe et les conducteurs de camion sur longue distance, DJIBOUTI, 2014"
Dominica,42.3,"Source: PROGRAMME DATA AND  COUNSELLING AND TESTING SERVICES"
Dominican Republic,84.4,
Egypt,9.5,"Source: Al-Shehab Organization. Network of Associations for Harm Reduction NAHR"
