Country,2015,2015_Footnote, 2016,2016_Footnote, 2017,2018,2019,2019_Footnote
Afghanistan,31,,,,32,,39,
Albania,45,,49,,37,49,48,"Denominator less than 50"
Algeria,,,12,,14,,,
Antigua and Barbuda,17,,30,,34,20,,
Argentina,,,,,32,,,
Armenia,40,,39,,37,39,39,
Azerbaijan,21,,22,,24,,30,
Bahamas,41,,33,,36,,,
Bahrain,,,,,,18,,
Bangladesh,48,,29,,7,12,,
Barbados,36,,36,,43,41,,
Belarus,,,,,13,11,,
Belgium,23,,,,,,,
Bosnia and Herzegovina,>95,"Denominator is less than 50",,,,,,
Brazil,25,,25,,26,27,27,
Bulgaria,26,,22,,,,,
Cambodia,48,,37,,33,,16,
Chile,40,,43,,32,31,21,
China,,,31,,31,31,,
Colombia,40,,40,,,35,,
Comoros,,,...,"Suppressed because the value is too low",6,40,38,"Denominator less than 50"
Cuba,15,,17,,15,21,,
Dominica,,,17,"Denominator is less than 50",,,,
Dominican Republic,...,"Suppressed because the value is too low",,,19,5,22,
Ecuador,,,,,,37,29,
El Salvador,47,,35,,13,8,35,
Eritrea,,,,,34,,,
Eswatini,,,,,,,33,
Fiji,50,"Denominator is less than 50",50,"Denominator is less than 50",,,,
Gabon,38,,32,,50,,46,
Georgia,34,,36,,34,33,34,
Germany,,,28,,,,,
Greece,33,,,,,,,
Grenada,23,"Denominator is less than 50",29,"Denominator is less than 50",,,,
Guatemala,...,"Value increased by more than 25%",50,,45,47,47,
Haiti,,,26,,27,,26,
Honduras,,,48,,52,35,26,
Iceland,,,33,"Denominator is less than 50",,,,
India,,,,,41,38,,
Indonesia,54,,51,,50,55,52,
Iran (Islamic Republic of),31,,36,,36,34,35,
Ireland,,,22,,,,,
Israel,,,,,,25,,
Jamaica,37,,33,,32,,25,
Jordan,40,"Denominator is less than 50",,,17,,,
Kazakhstan,17,,18,,19,20,21,
Kiribati,>95,"Denominator is less than 50",,,,,,
Kuwait,,,29,,29,30,,
Kyrgyzstan,36,,31,,29,35,29,
Lao People's Democratic Republic,54,,,,,,47,
Lebanon,32,,32,,24,26,,
Lithuania,31,,33,,,,,
Luxembourg,20,,15,,,,,
Madagascar,,,23,,,,,
Malaysia,44,,45,,36,32,39,
Maldives,,,<1,"Denominator is less than 50",,,,
Mali,35,,,,,,,
Malta,,,33,,,,,
Mauritania,56,,48,,,,,
Mauritius,,,31,,28,25,35,
Mexico,,,37,,37,37,,
Mongolia,39,"Denominator is less than 50",46,"Denominator is less than 50",41,12,33,"Denominator less than 50"
Montenegro,33,"Denominator is less than 50",13,,38,58,36,"Denominator less than 50"
Morocco,,,,,,,46,
Mozambique,,,,,24,,24,
Myanmar,,,44,,40,,,
Namibia,,,,,22,,,
Nepal,,,40,,24,22,,
New Zealand,,,23,,21,18,,
Nicaragua,47,,33,,18,30,35,
Niger,,,16,,3,13,45,
Nigeria,,,37,,,,35,
North Macedonia,,,,,,33,,
Oman,45,,43,,50,45,41,
Panama,40,,,,43,37,,
Papua New Guinea,,,,,,,45,
Paraguay,39,,40,,35,36,38,
Peru,,,,,,15,,
Philippines,59,,55,,50,49,50,
Poland,,,...,"Suppressed because the value is too low",,,,
Qatar,,,,,,16,,
Republic of Moldova,30,,36,,30,29,29,
Romania,43,,38,,,,,
Saint Kitts and Nevis,,,14,"Denominator is less than 50",44,60,43,"Denominator less than 50"
Saint Lucia,39,"Denominator is less than 50",,,18,38,27,"Denominator less than 50"
Samoa,,,,,<1,<1,,
Sao Tome and Principe,84,,11,,14,10,,
Saudi Arabia,12,,...,"Suppressed because the value increased by more than 25%",22,21,,
Senegal,38,,42,,48,,48,
Serbia,47,,38,,47,43,,
Seychelles,11,,13,,16,19,9,
Singapore,42,,40,,39,50,,
Slovakia,19,,,,,,,
South Africa,,,14,,,,,
Sri Lanka,19,,27,,23,28,32,
Suriname,33,,38,,29,35,30,
Syrian Arab Republic,,,,,11,,22,
Tajikistan,42,,31,,36,,32,
Thailand,57,,56,,,53,,
Tunisia,,,29,,49,42,25,
Turkey,,,,,,24,23,
United Arab Emirates,,,23,,5,17,16,
Uzbekistan,,,25,,21,24,,
Venezuela (Bolivarian Republic of),,,,,,,10,
Zimbabwe,,,50,,,,,
