Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote
Afghanistan,,,,,,,20.8,"Source: 2015 DHS",,,,,,
Albania,,,,,,,,,,,,,6.4,"Source: 2017-18 DHS"
Angola,,,,,,,29,"Source: 2015 DHS",,,,,,
Armenia,,,,,,,,,52.5,"Source: 2015-16 DHS",,,,
Bangladesh,,,,,68.4,"Source: 2014 DHS",,,,,,,,
Benin,,,,,,,,,,,,,25.8,"Source: 2017-18 DHS"
Burundi,,,,,,,,,,,46.5,"Source: 2016-17 DHS",,
Cambodia,,,,,44.7,"Source: 2014 DHS",,,,,,,,
Cameroon,,,,,16.4,"Source: 2014 MICS",,,,,,,,
Chad,,,,,,,14,"Source: 2014-15 DHS",,,,,,
Colombia,,,,,,,77.4,"Source: 2015 DHS",,,,,,
Côte d'Ivoire,,,,,,,,,19.5,"Source: 2016 MICS",,,,
Democratic Republic of the Congo,,,,,19.2,"Source: 2013-14 DHS",,,,,,,,
Dominican Republic,,,65.1,"Source: 2013 DHS",,,,,,,,,,
Egypt,,,,,63.9,"Source: 2014 DHS",,,,,,,,
Ethiopia,,,,,,,,,60.7,"Source: 2016 DHS",,,,
Gabon,51.1,"Source: 2012 DHS",,,,,,,,,,,,
Gambia,,,13.4,"Source: 2013 DHS",,,,,,,,,,
Ghana,,,,,31,"Source: 2014 DHS",,,,,,,,
Guatemala,,,,,,,48.3,"Source: 2014-15 DHS",,,,,,
Guinea,21.6,"Source: 2012 DHS",,,,,,,,,,,,
Haiti,,,,,,,,,,,38,"Source: 2016-17 DHS",,
Honduras,62,"Source: 2011-12 DHS",,,,,,,,,,,,
India,,,,,,,,,28.1,"Source: 2015-16 DHS",,,,
Indonesia,,,,,,,,,,,78.9,"2017 DHS",,
Kenya,,,,,53.8,"Source: 2014 DHS",,,,,,,,
Kyrgyzstan,37.6,"Source: 2012 DHS",,,,,,,,,,,,
Lesotho,,,,,71.5,"Source: 2014 DHS",,,,,,,,
Liberia,,,36.1,"Source: 2013 DHS",,,,,,,,,,
Malawi,,,,,,,,,57.9,"Source: 2015-16 DHS",,,,
Maldives,,,,,,,,,,,5.8,"Source: 2016-17 DHS",,
Mali,,,27.2,"Source: 2012-13 DHS",,,,,,,,,36,"2018 DHS"
Mongolia,,,45.1,"Source: 2013 Social Indicator Survey",,,,,,,,,,
Mozambique,,,,,,,44.9,"Source: 2015 AIS",,,,,,
Myanmar,,,,,,,,,72.8,"Source: 2015-16 DHS",,,,
Namibia,,,72.1,"Source: 2013 DHS",,,,,,,,,,
Nepal,,,,,,,,,25.1,"Source: 2016 DHS",,,,
Niger,28.8,"Source: 2012 DHS",,,,,,,,,,,,
Nigeria,,,39.3,"Source: 2013 DHS",,,,,,,,,27.5,"2018 DHS"
Pakistan,,,27.3,"Source: 2012-13 DHS",,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,30.9,"2016-18 DHS"
Peru,,,,,,,,,,,11.8,"Source: 2017 DHS",,
Philippines,,,,,,,,,,,43.7,"Source: 2017 DHS",,
Rwanda,,,,,,,34.6,"Source: 2014-15 DHS",,,,,,
Senegal,,,,,,,,,,,27.9,"Source: 2017 DHS",,
Sierra Leone,,,54.4,"Source: 2013 DHS",,,,,,,,,,
South Africa,,,,,,,,,75.6,"Source: 2016 DHS",,,,
Sri Lanka,,,,,,,,,57.8,"Source: 2016 DHS",,,,
Tajikistan,,,,,,,,,,,17.6,"Source: 2017 DHS",,
Thailand,,,,,,,,,97.8,"Source: 2015-16 MICS",,,,
Timor-Leste,,,,,,,,,21.3,"Source: 2016 DHS",,,,
Togo,,,,,41.5,"Source: 2013-14 DHS",,,,,,,,
Uganda,,,,,,,,,44.1,"Source: 2016 DHS",,,,
United Republic of Tanzania,,,,,,,,,40.6,"Source: 2015-16 DHS",,,,
Yemen,,,28.5,"Source: 2013 DHS",,,,,,,,,,
Zambia,,,,,43.2,"Source: 2013-14 DHS",,,,,,,48,"2018 DHS"
Zimbabwe,,,,,,,71.7,"Source: 2015 DHS",,,,,,
