Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0.2,"Source: National programme data, 2019"
Azerbaijan,0.7,"Source: National Programme data 2016"
Bangladesh,1.6,"Source: Save the Children"
Bosnia and Herzegovina,8.6,"Source: National Programme data 2016"
Estonia,12.1,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Georgia,30.7,"Source: IBBSS among PWIDs to assess the size of opioid dependent PWIDs in the country"
Indonesia,46.4,"Source: Annual report of Directorate of Mental Health, MoH 2015"
Kazakhstan,0.4,"Source: Electronic database for OST"
Kenya,17.2,"Source: NASCOP KP Programme Data"
Kyrgyzstan,2.9,"Source: National programme data, 2018"
Malaysia,0,"Source: National programme data, 2018"
Mauritius,11.6,"Source: National programme data 2018"
Mexico,5.3,"Source: Denominator:  SS/Conadic et. al. Usuarios de 12 a 65 años que se ha inyectado algún tipo de droga ilegal según sexo. En: Encuesta Nacional de Adicciones 2011: Reporte de Drogas. Editor: Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz (INPRFM). Primera Edición. México, 2012.; Numerator: Asistencia Médica Contra la Adicción S de RL de CV, Centros de Integración Juvenil, A.C., Clínica Integral de Tratamiento Contra las Adicciones SA DE CV, Profesionales Contra la Adicción SA de CV. México, marzo 2019."
Nepal,0.7,"Source: National programme data 2019"
Tajikistan,3.8,"Source: National programme data 2018"
Thailand,6.9,"Source: 1. National OST monitoring report from  Department of Health Service Support, MOPH 2. National MMT monitoring report from NHSO"
