Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Albania,0.5,"Source: IBBS"
Angola,15.9,"Source: Livros de registo de aconselhamento e testagem do VIH"
Antigua and Barbuda,0,"Source: Prison registry and Clinical Care Coordinator's records"
Argentina,2.7,"Source: Estudio de prevalencia de VIH, sífilis, hepatitis virales y tuberculosis en personas en contextos de encierro en unidades del Servicio Penitenciario Federal. Argentina 2017. Dirección de Sida y ETS."
Armenia,0.3,"Source: HIV tests conducted by jails, prisons and other closed settings 2019"
Australia,1,"Source: The National Prison Entrants' Bloodborne Virus Survey"
Azerbaijan,1.9,"Source: дозорный эпидемиологический надзор"
Bahamas,2.2,"Source: Data from HIV records from Department of Corrections."
Belarus,8.5,"Source: Routine programme data"
Belize,5.8,"Source: Prison Medical Facility of Kolbe Foundation, 2016"
Benin,0.6,"Source: Enquête biologique et comportement en milieu carcérale au Bénin en 2017, PSLS/MS"
Bolivia (Plurinational State of),1.1,"Source: Programme data"
Brunei Darussalam,0.1,"Source: HIV tests conducted in jails, prisons and other closed settings, 2019"
Bulgaria,1.7,"Source: Behavioural Surveillance Survey  - convenience sampling in 3 prisons"
Burkina Faso,2.2,"Source: Enquête bio comportementale du VIH SIDA en milieu carcéral auprès des détenus hommes et femmes au Burkina Faso 2017"
Cambodia,1.6,"Source: Programme data"
Cameroon,4,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Canada,1,"Source: HIV tests conducted by jails, prisons and, other closed settings"
Central African Republic,3.6,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Chile,0.3,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
Colombia,0.7,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
Congo,3.9,"Source: IBBS 2017"
Costa Rica,0.9,"Source: Ministerio de Justicia y Paz"
Côte d'Ivoire,1.2,"Source: HIV tests conducted by jails, prisons and other closed settings 2017"
Democratic Republic of the Congo,0.8,"Source: HIV tests conducted by jails, prisons and other closed settings 2018"
Ecuador,1.3,"Source: Estudio por el MSP y el Instituto Nacional de Higiene Isquieta Pérez"
El Salvador,0.1,"Source: Programme data, 2018"
Eritrea,1.4,"Source: IBBS study on Prioners"
Estonia,13,"Source: ECDC 2017"
Eswatini,34.9,"Source: Special survey"
Finland,1,
France,2,
Georgia,0.08,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Ghana,0.4,"Source: HIV tests conducted by jails, prisons and other closed settings 2017"
Greece,1.3,"Source: Ministry of Justice and Human Rights"
Guatemala,0.7,"Source: Encuesta Centroamericana de Vigilancia de Comportamiento Sexual y Prevalencia del VIH e ITS en poblaciones vulnerables y en poblaciones clave (ECVC)"
Guinea,2.3,"Source: ESCOMB 2017"
