Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Albania,41.9,"Source: 2008-09 DHS"
Algeria,45.8,
Angola,44,"Source: MICS 2016"
Armenia,68,"Source: 2005 DHS"
Barbados,30.8,
Benin,39.6,"Source: 2011-12 DHS"
Bolivia (Plurinational State of),27.6,"Source: 2003 DHS"
Burkina Faso,67.6,"Source: 2010 DHS"
Burundi,32.2,"Source: 2010 DHS"
Cambodia,67.2,"Source: 2014 DHS"
Cameroon,51.8,"Source:2018 DHS"
Chad,35.9,"Source: 2014-15 DHS"
Chile,39.1,"Source: MICS 2015-2016"
Colombia,70.5,"Source: 2015 DHS"
Comoros,47.7,"Source: 2012 DHS"
Congo,48,"Source: 2011-12 DHS"
Cuba,78.9,
Côte d'Ivoire,49.9,"Source: 2011-12 DHS"
Democratic Republic of the Congo,26.7,"Source: 2013-14 DHS"
Dominican Republic,63.3,"Source: 2013 DHS"
Eswatini,60.4,"Source: 2006-07 DHS"
Ethiopia,43.6,"Source: DHS 2016"
Gabon,64.3,"Source: 2012 DHS"
Gambia,57,"Source: 2013 DHS"
Ghana,25.8,"Source: 2014 DHS"
Guatemala,41,"Source: Nationally Representative Survey 2014-2015"
Guinea,38.5,"Source:2018 DHS"
Guyana,63.2,"Source: 2009 DHS"
Haiti,58.9,"Source: 2012 DHS"
Honduras,84.8,
India,40.3,"Source: National Family Health Survey (NFHS) 2015-16"
Kenya,43.9,"Source: DHS 2014"
Kyrgyzstan,66.5,"Source: 2012 DHS"
Lesotho,76.3,"Source: 2014 DHS"
Liberia,29.4,"Source: 2013 DHS"
Madagascar,8.8,"Source: 2008-09 DHS"
Malawi,61.9,"Source: 2015-16 DHS"
Mali,27.4,"Source:2018 DHS"
Mozambique,37,"Source: 2011 DHS"
Namibia,70.3,"Source: 2013 DHS"
Nicaragua,13.9,"Source: 2001 DHS"
Niger,54.2,"Source: 2012 DHS"
Nigeria,45.5,"Source:2018 DHS"
Papua New Guinea,27.5,"Source:2018 DHS"
Peru,18.4,"Source: 2000 DHS"
Philippines,11.1,"Source: 2008 DHS"
Republic of Moldova,42.1,"Source: 2005 DHS"
Rwanda,54.7,"Source: 2014-15 DHS"
Sao Tome and Principe,57.3,"Source: 2008-09 DHS"
Senegal,68.9,"Source: 2014 DHS"
Sierra Leone,11.9,"Source: 2013 DHS"
Thailand,75.7,"Source: 2017 BSS"
Togo,51.3,"Source: 2013-14 DHS"
Turkmenistan,6.6,"Source: 2000 DHS"
Uganda,50.7,"Source: 2011 DHS"
Ukraine,79.9,"Source: Survey 2017"
United Republic of Tanzania,37.2,"Source: Tanzania HIV Impact Survey 2016-2017"
Zambia,45.6,"Source:2018 DHS"
Zimbabwe,79,"Source: 2015 DHS"
