Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,4.4,
Algeria,0.9,"Source: Rapport des Centres de Dépistage (CD) 2018"
Armenia,1.9,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,2.1,"Source: Australian Needle and Syringe Program Survey."
Azerbaijan,6.9,"Source: Sentinel surveillance, 2018"
Bangladesh,19.8,"Source: Serological Survey, 2016 (unpublished)"
Belarus,24.1,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Benin,1.7,"Source: Behavioral surveillance"
Bulgaria,2,
Canada,8.4,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,5.3,"Source: Sentinel surveillance, 2019"
Cyprus,0,
Czech Republic,0.1,"Source: Diagnostic screening among low-threshold programmes clients, rapid tests."
Democratic Republic of the Congo,2.6,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,2.5,"Source: VCT (governmental and NGOs)"
Estonia,47.9,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,11,"Source: Enquête Coquelicot 2011"
Georgia,2.2,"Source: IBBS 2017"
Germany,3.4,
Greece,7.8,"Source: Greek Reitox focal point of the EMCDDA"
Hungary,0.5,
India,9.9,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,27.7,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),8.9,"Source: Bio-behavioural surveillance"
Italy,7.7,"Source: 2012 National Report (2011 data) to the EMCDDA by the Reitox Italian Focal Point"
Kazakhstan,7.6,"Source: Sentinel surveillance"
Kenya,16,"Source: UNODC IDU study 2011 conducted in Coast and Nairobi"
Kuwait,0.1,"Source: Addition center data"
Kyrgyzstan,15.2,"Source: Sentinel surveillance"
Latvia,18.2,"Source: 9th wave of Drug User's Cohort Study (year 2016)"
Madagascar,9.1,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateur de drogue injectable, Année 2016"
Malaysia,13.5,"Source: IBBS"
Malta,2,"Source: Data collected from the SMOPU (whole population is under OST)"
Mauritius,31.4,"Source: IBBS 2017"
Mexico,2.4,"Source: Encuesta de seguimiento del proyecto “Fortalecimiento de las estrategias nacionales de prevención y reducción de daño dirigidos a hombres que tienen sexo con hombres (HSH) y hombres y mujeres usuarios de drogas intravenosas (UDI)”"
Montenegro,0.6,"Source: Bio-behavioural Survey"
Morocco,9.9,"Source: Étude RDS auprès des UDI, 2010, 2012 et 2014"
Myanmar,19.2,"Source: HIV Sero Sentinel Surveillance, 2018"
Nepal,8.8,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Nigeria,2.6,
Pakistan,20.9,"Source: IBBS data (Round V)"
Philippines,22.8,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Portugal,18.8,"Source: Ministry of Health (only patients on treatment in public services)"
Republic of Moldova,11,"Source: IBBS"
Romania,6.9,"Source: NAA's routine monitoring system on needle & syringes programmes"
Senegal,1.7,
Serbia,1.5,"Source: esearch among most at risk population and among people living with HIV"
Seychelles,26.6,"Source: National programme data, 2019"
South Africa,16.3,"Source:  Population-based cross-sectional survey of households in South Africa"
Spain,17.5,"Source: Estudio EPI-VIH. Vigilancia centinela del VIH realizada en 19 centros de VIH/ITS repartidos por las principales ciudades españolas."
Sweden,0.6,"Source: Case reporting"
Switzerland,8.8,
Tajikistan,11.4,"Source: Sentinel surveillance, 2018"
Thailand,25.2,"Source: Integrated Bio-Behavioral  Survey (IBBS)"
The former Yugoslav Republic of Macedonia,0,"Source: Respondent-Driven Sampling among PWID in the capital city. Results are extrapolated at the national level."
Tunisia,6,"Source: BSS"
Ukraine,20.7,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,1.3,"Source: UAM Survey of People Who Inject Drugs"
United Republic of Tanzania,14.8,
Uzbekistan,5.3,"Source: Sentinel surveillance"
Viet Nam,12.7,"Source: HSS 2019"
