Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0,"Source: National program data"
Albania,1.1,"Source: Behavioral Surveillance Survey"
Algeria,0.1,"Source: Bilan des activités des centres de dépistage du VIH/sida 2018"
Azerbaijan,4,
Belarus,0.7,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Bulgaria,0.2,
Canada,0.8,"Source: European MSM Internet Survey"
Costa Rica,0,"Source: ENCUESTA SEROPREVALENCIA"
Dominican Republic,0.3,"Source: 3ra Encuesta de Vigilancia de Comportamiento con Vinculación Serológica al VIH, Sifilis, Hepatitis B y C, 2018"
Germany,8.3,"Source: 1) a longitudinal cohort study of MSM HIV seroconverters who were tested for HBV and HCV prevalence and incidence after being diagnosed with HIV and included in the cohort (data collected between 1996 and 2012); 2) self-reported data on HCV diagnosis in the recent 12 months among MSM with self-reported HIV infection (data collection between 11/2013 and 01/2014); 3) data on simultaneous diagnosis of HIV and HCV among MSM testing in Community-based voluntary counselling and testing centers in 2015 and 2016; 4) A multicenter biobehavioural survey among active IDU conducted between 2011 and 2014 in eight larger German cities. Dried blood spots were tested for HIV, HBV and HCV seromarkers."
Guatemala,2.6,"Source: Ministerio de Salud Publica y Asistencia Social (MSPAS), IGSS, Cruz Roja, PASMO, Sanidad Militar, e INCAP."
Kazakhstan,0.8,"Source: Behavioral Surveillance Survey"
Kyrgyzstan,7.3,
Mongolia,0.2,"Source: MSM Cohort Study in Ulaanbaatar"
Myanmar,1.3,"Source: BBS, 2019"
Republic of Moldova,4,
Senegal,1,"Source: Behavioral surveillance, 2018"
Seychelles,35.8,
Tajikistan,0.6,"Source: Исследование дозорный эпидемиологический надзор среди мужчин, имеющих половые контакты с мужчинами (ДЭН 2017)"
The former Yugoslav Republic of Macedonia,0,"Source: IBBS"
Ukraine,0.7,"Source: Behavioural Surveillance Survey among CSW, MSM, PWID"
Uzbekistan,18,
