Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Albania,9.4,"Source: Behavioral Surveillance Survey"
Algeria,68.9,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie. AIDS Algerie/MSPRH/ONUSIDA - 2017"
Armenia,5.8,"Source: Integrated Biological and Behavioral Surveillance Survey"
Brazil,17.3,
Cameroon,13.5,"Source: IBBS 2016"
Congo,10.4,"Source: Behavioral surveillance, 2018"
Côte d'Ivoire,22.6,"Source: Cartographie programmatique des HSH à Abidjan"
Dominican Republic,1.9,
Gambia,8.2,"Source: Integrated Biological Behavioural Surveillance Survey of Vulnerable Groups"
Lao People's Democratic Republic,75,
Lesotho,8,"Source: Men who have Sex with Men and Female Sex Workers in Lesotho: Estimates of HIV prevalence, risk behavior, and population size"
Mongolia,47.1,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Morocco,7.9,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2017"
Paraguay,16.6,"Source: Estudio de Prevalencia del VIH/Sifilis, Hepatitis y comportamientos de riesgo en HSH 2017"
Serbia,19,"Source: Seroprevalent and behavioral survey (bio-behavioral surveillance survey) by using RDS methodology."
Sri Lanka,5.2,"Source: Behavioral surveillance, 2018"
Thailand,5.6,"Source: IBBS among MSM MSW TG in 2018"
United Kingdom,18,"Source: ECDC"
Zimbabwe,8.3,"Source: BBS, 2019"
