Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote
Afghanistan,,,,,,,42.2,"Source: 2015 DHS",,,,,,
Albania,,,,,,,,,,,,,6.3,"Source: 2017-18 DHS"
Angola,,,,,,,29.8,"Source: 2015 DHS",,,,,,
Armenia,,,,,,,,,40.6,"Source: 2015-16 DHS",,,,
Bangladesh,,,,,72.6,"Source: 2014 DHS",,,,,,,,
Benin,,,,,,,,,,,,,28.8,"Source: 2017-18 DHS"
Burundi,,,,,,,,,,,40.3,"Source: 2016-17 DHS",,
Cambodia,,,,,56.5,"Source: 2014 DHS",,,,,,,,
Cameroon,,,,,21,"Source: 2014 MICS",,,,,,,,
Chad,,,,,,,20.2,"Source: 2014-15 DHS",,,,,,
Colombia,,,,,,,86.6,"Source: 2015 DHS",,,,,,
Côte d'Ivoire,,,,,,,,,33.7,"Source: 2016 MICS",,,,
Democratic Republic of the Congo,,,,,19.5,"Source: 2013-14 DHS",,,,,,,,
Dominican Republic,,,82.7,"Source: 2013 DHS",,,,,,,,,,
Egypt,,,,,80,"Source: 2014 DHS",,,,,,,,
Ethiopia,,,,,,,,,61.3,"Source: 2016 DHS",,,,
Gabon,44,"Source: 2012 DHS",,,,,,,,,,,,
Gambia,,,26.7,"Source: 2013 DHS",,,,,,,,,,
Ghana,,,,,41.2,"Source: 2014 DHS",,,,,,,,
Guatemala,,,,,,,66.2,"Source: 2014-15 DHS",,,,,,
Guinea,24.6,"Source: 2012 DHS",,,,,,,,,,,,
Haiti,,,,,,,,,,,45.4,"Source: 2016-17 DHS",,
Honduras,75.9,"Source: 2011-12 DHS",,,,,,,,,,,,
India,,,,,,,,,72.8,"Source: 2015-16 DHS",,,,
Indonesia,,,,,,,,,,,77,"2017 DHS",,
Kenya,,,,,70.8,"Source: 2014 DHS",,,,,,,,
Kyrgyzstan,62.1,"Source: 2012 DHS",,,,,,,,,,,,
Lesotho,,,,,78.9,"Source: 2014 DHS",,,,,,,,
Liberia,,,41.5,"Source: 2013 DHS",,,,,,,,,,
Malawi,,,,,,,,,73.9,"Source: 2015-16 DHS",,,,
Maldives,,,,,,,,,,,29.4,"Source: 2016-17 DHS",,
Mali,,,28.7,"Source: 2012-13 DHS",,,,,,,,,41.4,"2018 DHS"
Mongolia,,,77.3,"Source: 2013 Social Indicator Survey",,,,,,,,,,
Mozambique,,,,,,,55.5,"Source: 2015 AIS",,,,,,
Myanmar,,,,,,,,,74.9,"Source: 2015-16 DHS",,,,
Namibia,,,80.4,"Source: 2013 DHS",,,,,,,,,,
Nepal,,,,,,,,,56.3,"Source: 2016 DHS",,,,
Niger,40.9,"Source: 2012 DHS",,,,,,,,,,,,
Nigeria,,,38.8,"Source: 2013 DHS",,,,,,,,,35.7,"2018 DHS"
Pakistan,,,47,"Source: 2012-13 DHS",,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,49.2,"2016-18 DHS"
Peru,,,,,,,,,,,39,"Source: 2017 DHS",,
Philippines,,,,,,,,,,,56.1,"Source: 2017 DHS",,
Rwanda,,,,,,,63.9,"Source: 2014-15 DHS",,,,,,
Senegal,,,,,,,,,,,54.1,"Source: 2017 DHS",,
Sierra Leone,,,49,"Source: 2013 DHS",,,,,,,,,,
South Africa,,,,,,,,,79.7,"Source: 2016 DHS",,,,
Sri Lanka,,,,,,,,,74.2,"Source: 2016 DHS",,,,
Tajikistan,,,,,,,,,,,52.2,"Source: 2017 DHS",,
Thailand,,,,,,,,,96.5,"Source: 2015-16 MICS",,,,
Timor-Leste,,,,,,,,,46.6,"Source: 2016 DHS",,,,
Togo,,,,,37.4,"Source: 2013-14 DHS",,,,,,,,
Uganda,,,,,,,,,53.8,"Source: 2016 DHS",,,,
United Republic of Tanzania,,,,,,,,,55.1,"Source: 2015-16 DHS",,,,
Yemen,,,46.8,"Source: 2013 DHS",,,,,,,,,,
Zambia,,,,,62.6,"Source: 2013-14 DHS",,,,,,,66.2,"2018 DHS"
Zimbabwe,,,,,,,84.8,"Source: 2015 DHS",,,,,,
