Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Angola,3400,"Region: 5 provinces; Method: PLACE; Source: PLACE"
Argentina,5400,"Method: Literature review;"
Armenia,200,"Region: National; Method: Expert's opinion and consensus;"
Bangladesh,10 200,"Region: National; Method: Mapping and extrapolation; Source: Size Estimation Survey of Key Populations in Bangladesh, 2015"
Bolivia (Plurinational State of),900,"Region: National; Method: Programmatic mapping and extrapolation; Source: Mapeo Programático y Social"
Botswana,100,"Region: 12 health districts (Greater Gaborone Greater Francistown, Boteti, Chobe,  Kgalagadi North, Ngamiland, Palapye, Selebi-Phikwe, Serowe,Kweneng West, Okavango and Tutume); Method: Focus group meetings and Key Informant Interviews ; Source: Mapping & Size Estimation of Select Key Populations in Botswana (2017),"
Bulgaria,8500,
Cambodia,6300,"Region: National; Method: Triangulation and consensus;"
Colombia,5900,"Region: Bogotá, Cali y Medellín; Method: Unknown; Source: Vulnerabilidad al VIH y prevalencia de VIH en mujeres transgénero en tres ciudades de Colombia : Bogotá, Medellín y Santiago de Cali, 2019"
Costa Rica,400,"Region: Gran Área Metropolitana; Method: Unique object multiplier; Source: Encuesta seroprevalencia"
Cuba,3500,"Region: National; Method: Census; Source: Estimaciones de poblaciones clave realizados por la ONEI/CEPDE para INFORME GARPR 2016"
Dominican Republic,9400,"Region: National; Method: Literature review, multiplier and extrapolation; Source: DEFINICIÓN Y DIMENSIONAMIENTO DE POBLACIONES CLAVE PARA EL VIH Y EL SIDA EN LA REPÚBLICA DOMINICANA"
Ecuador,12 200,"Region: 11 cities:  Guayas, Pichincha, Esmeraldas, El Oro, Santo Domingo, Manabí, Loja, Morona Santiago, Imbabura, Sucumbíos and Chimborazo; Method: Programmatic mapping and extrapolation;"
El Salvador,1800,"Region: National; Method: Unique object multiplier;"
Guatemala,4000,"Region: National; Methods: Census and enumeration and capture-recapture; Source: Caracterización y estimación del tamaño pobalcional en mujeres trans en Guatemala projected with the results of the XII Censo Nacional de Población y VII de Vivienda"
