Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,32.8,
Armenia,38.7,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,30.2,"Source: Australian Needle and Syringe Program Survey. Behavioural survey of people who inject drugs"
Azerbaijan,82.5,"Source: Behavioral surveillance, 2018"
Bangladesh,33,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,53.6,"Source: Behavioural Surveillance Survey, 2017"
Benin,29.8,"Source: Enquête de Surveillance de Deuxième Génération (comportementale et biologique) 2015"
Bosnia and Herzegovina,35.1,
Bulgaria,34.2,
Canada,35.8,"Source: Unpublished data from I-Track: Enhanced Surveillance of Risk Behaviours among People who Inject Drugs, Phase 3 (2010-2012). Public Health Agency of Canada, Surveillance and Epidemiology Division, Centre for Communicable Diseases and Infection Control. March 2013."
China,56.7,"Source: Sentinel surveillance, 2019"
Comoros,43.8,"Source: Behavioral surveillance, 2018"
Democratic Republic of the Congo,20.6,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,2.4,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,34.4,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,79,"Source: Enquête ENA-CAARUD"
Georgia,34.7,"Source: Behavioural Surveillance Survey, 2017"
Germany,29.4,
Greece,47.2,"Source: Greek Reitox focal point of the EMCDDA"
Guinea,49.1,"Source: ESCOMB 2017"
Hungary,18.8,
India,76.6,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,44.6,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),35.5,"Source: IBBS, 2019"
Kazakhstan,51.1,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,57.9,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Latvia,53.8,
Madagascar,36.9,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable,  2016"
Malaysia,25.5,"Source: Respondent Driven Sampling study among male PWID in 10 states, 2017"
Mauritius,46.5,"Source: IBBS on PWID 2017"
Mexico,27.4,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,64.9,"Source: Bio-behavioural Survey"
Morocco,28.1,"Source: Étude RDS 2015"
Myanmar,21.2,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,47.4,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey 2017"
Nigeria,51.8,
Pakistan,15.7,"Source: National IBBS Round V 2016"
Philippines,14.4,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,25.8,
Serbia,31,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia"
Seychelles,3.2,
Sierra Leone,23.6,
Sri Lanka,24.7,"Source: IBBS survey 2014"
Sweden,19,
Switzerland,62.2,
Tajikistan,36.1,"Source: Behavioral surveillance, 2018"
Thailand,45,"Source: Integrated Bio-Behavioral  Survey (IBBS)"
The former Yugoslav Republic of Macedonia,40.6,"Source: Behavioural Surveillance Survey, 2017"
Tunisia,45,"Source: Behavioural Surveillance Survey, 2017"
Uganda,17,"Source: Behavioural Surveillance Survey (Rapid Assessment on Condom use among PWIDs, UHRN 2017)"
Ukraine,43.1,"Source: National Integrated Bio-Behavioral Survey 2017"
United Republic of Tanzania,30.1,
United States,26,"Source: The National HIV Behavioral Surveillance System (NHBS) conducts surveillance for HIV risk behaviors among persons at highest risk for HIV infection."
Uzbekistan,44.5,
Viet Nam,41.5,"Source: HSS+ 2019"
