Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Afghanistan,,,,,,,28.7,"Source: 2015 DHS",,,,,,,,
Angola,,,,,,,,,24.3,"Source: 2015-16 DHS",,,,,,
Armenia,,,,,,,,,0,"Source: 2015-16 DHS",,,,,,
Bangladesh,,,,,,,28.4,"Source: 2015 Report on violence against women survey",,,,,,,,
Benin,,,,,,,,,,,,,14.1,"Source: 2017-18 DHS",,
Bolivia (Plurinational State of),,,,,,,,,43.5,"Source: DHS 2016 (GAM 2019)",,,,,,
Burundi,,,,,,,,,,,37.8,"Source: 2016-17 DHS",,,,
Cambodia,,,,,7,"Source: 2014 DHS",,,,,,,,,,
Cameroon,,,,,36.1,"Source: MICS 2014",,,,,,,,,,
Chad,,,,,14.5,"Source: 2014 DHS",,,,,,,,,,
Colombia,,,,,,,28.8,"Source: 2015 DHS",,,,,,,,
Congo,,,,,36.4,"Source: 2013-14 DHS",,,,,,,,,,
Cuba,,,,,,,,,,,5.3,"Source: GAM 2017",,,,
Democratic Republic of the Congo,,,,,36.4,"Source: 2013-14 DHS",,,,,,,,,,
Dominican Republic,,,21.6,"Source: 2013 DHS",,,,,,,,,,,,
Egypt,,,,,16.5,"Source: 2014 DHS",,,,,,,,,,
Ethiopia,,,,,,,,,24.3,"Source: 2016 DHS",,,,,,
Gambia,,,5,"Source: 2013 DHS",,,,,,,,,,,,
Guatemala,,,,,,,8.9,"Source: 2014-15 DHS",,,,,,,,
Haiti,,,,,,,,,,,28,"Source: 2016-17 DHS",,,,
India,,,,,,,,,17.6,"Source: 2015-16 DHS",,,,,,
Jordan,,,,,,,,,,,,,14.5,"Source: 2017-18 DHS",,
Kenya,,,,,23,"Source: 2014 DHS",,,,,,,,,,
Kyrgyzstan,2.7,"Source: 2012 DHS",,,,,,,,,,,,,,
Malawi,,,,,,,,,28.1,"Source: 2015-16 DHS",,,,,,
Maldives,,,,,,,,,,,3.5,"Source: 2016-17 DHS",,,,
Mali,,,29.3,"Source: 2012-13 DHS",,,,,,,,,20.8,"Source: 2018 DHS",,
Mexico,,,,,,,,,6.5,"Source: 2016 ENDIREH",,,,,,
Mozambique,,,,,,,10.2,"Source: 2015 AIS",,,,,,,,
Myanmar,,,,,,,,,21.8,"Source: 2015-16 DHS",,,,,,
Namibia,,,52,"Source: 2013 DHS",,,,,,,,,,,,
Nepal,,,,,,,,,17,"Source: 2016 DHS",,,,,,
Nigeria,,,8.9,"Source: 2013 DHS",,,,,,,,,12.6,"Source: 2018 DHS",,
Pakistan,,,,,,,,,,,,,17.3,"Source: 2017-18 DHS",,
Papua New Guinea,,,,,,,,,,,,,59.8,"Source: 2016-18 DHS",,
Peru,,,,,,,,,17.6,"Source: 2016 DHS",,,,,,
Philippines,,,,,,,,,,,11.1,"Source: 2017 DHS",,,,
Rwanda,,,,,,,0,"Source: 2015 DHS",,,,,,,,
Senegal,,,,,,,,,,,18.9,"Source: DHS 2017 (GAM 2019)",,,,
Sierra Leone,,,30.5,"Source: 2013 DHS",,,,,,,,,,,42.9,"Source: 2019 DHS"
South Africa,,,,,,,,,,,30.1,"Source: HSRC 2017 (GAM 2019)",,,,
Tajikistan,,,,,,,,,,,5.6,"Source: 2017 DHS",,,,
Togo,,,,,13.2,"Source: 2013-14 DHS",,,,,,,,,,
Uganda,,,,,,,,,31,"Source: 2016 DHS",,,,,,
United Republic of Tanzania,,,,,,,30.1,"Source: 2015 DHS",,,,,,,,
Zambia,,,,,29.8,"Source: 2013-14 DHS",,,,,,,26.7,"Source: 2018 DHS",,
Zimbabwe,,,,,,,31.5,"Source: 2015 DHS",,,,,,,31.3,"Source: MICS 2019"
