States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,39 ,34 , 44,53 ,46 , 60,60 ,52 , 68,65 ,56 , 73,77 ,67 , 86,82 ,71 , 91,82 ,71 , 91,86 ,75 , 96,78 ,68 , 88,86 ,75 , 98
Harare,24 ,20 , 28,34 ,29 , 40,39 ,33 , 45,42 ,36 , 49,50 ,43 , 58,53 ,45 , 61,63 ,54 , 72,73 ,63 , 84,69 ,60 , 80,80 ,69 , 92
Manicaland,32 ,27 , 36,44 ,38 , 49,49 ,43 , 55,53 ,46 , 59,63 ,55 , 71,71 ,62 , 80,78 ,68 , 88,85 ,74 , 96,79 ,69 , 90,92 ,80 , 100
Mashonaland Central,39 ,34 , 46,54 ,47 , 63,61 ,53 , 72,66 ,57 , 77,75 ,65 , 88,85 ,73 , 99,100 ,87 , 100,100 ,90 , 100,100 ,91 , 100,100 ,100 , 100
Mashonaland East,29 ,25 , 33,40 ,34 , 45,45 ,39 , 50,47 ,42 , 53,55 ,48 , 61,58 ,51 , 65,58 ,50 , 65,70 ,61 , 79,67 ,58 , 76,76 ,66 , 87
Mashonaland West,36 ,31 , 41,49 ,43 , 56,56 ,49 , 63,60 ,53 , 68,70 ,62 , 80,78 ,69 , 88,88 ,78 , 100,99 ,87 , 100,84 ,74 , 95,100 ,91 , 100
Masvingo,38 ,33 , 42,51 ,45 , 57,58 ,50 , 64,61 ,54 , 68,75 ,66 , 83,75 ,66 , 82,83 ,73 , 93,90 ,79 , 100,90 ,78 , 100,99 ,86 , 100
Matabeleland North,34 ,30 , 39,46 ,40 , 53,52 ,45 , 59,55 ,48 , 63,64 ,56 , 73,69 ,61 , 79,73 ,64 , 83,79 ,70 , 90,75 ,66 , 87,86 ,76 , 100
Matabeleland South,36 ,31 , 39,48 ,42 , 53,54 ,47 , 59,57 ,50 , 62,67 ,60 , 73,71 ,63 , 77,78 ,70 , 85,91 ,82 , 99,94 ,84 , 100,96 ,87 , 100
Midlands,37 ,32 , 41,49 ,43 , 55,54 ,47 , 60,56 ,49 , 63,64 ,57 , 72,68 ,60 , 76,71 ,62 , 79,78 ,69 , 88,75 ,65 , 84,80 ,70 , 89
National,33 ,29,37,45 ,39,51,51 ,44,58,54 ,47,62,64 ,56,73,68 ,60,78,75 ,65,85,83 ,73,95,79 ,69,90,89 ,78,100
