States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,35 ,29 , 39,46 ,39 , 52,53 ,45 , 59,62 ,53 , 70,69 ,60 , 78,74 ,64 , 83,73 ,63 , 82,79 ,68 , 89,71 ,62 , 80,79 ,68 , 90
Harare,22 ,18 , 26,30 ,25 , 35,35 ,30 , 41,42 ,36 , 48,48 ,41 , 55,51 ,43 , 58,61 ,52 , 69,70 ,60 , 80,66 ,57 , 76,77 ,66 , 90
Manicaland,30 ,25 , 33,39 ,34 , 44,45 ,39 , 51,53 ,45 , 60,59 ,51 , 66,67 ,58 , 76,73 ,63 , 82,82 ,71 , 93,74 ,64 , 85,90 ,77 , 100
Mashonaland Central,36 ,31 , 42,48 ,41 , 56,55 ,48 , 65,65 ,56 , 76,73 ,62 , 85,82 ,70 , 96,95 ,82 , 100,100 ,87 , 100,97 ,84 , 100,100 ,100 , 100
Mashonaland East,27 ,23 , 30,35 ,30 , 39,40 ,35 , 45,46 ,40 , 52,52 ,45 , 58,54 ,48 , 61,54 ,47 , 61,65 ,57 , 74,62 ,54 , 71,73 ,63 , 83
Mashonaland West,32 ,28 , 37,43 ,37 , 49,49 ,43 , 56,58 ,51 , 66,65 ,58 , 74,72 ,64 , 82,80 ,71 , 91,93 ,82 , 100,78 ,69 , 89,100 ,88 , 100
Masvingo,35 ,30 , 40,46 ,40 , 52,53 ,46 , 59,61 ,54 , 68,68 ,60 , 76,70 ,61 , 78,77 ,67 , 85,83 ,72 , 92,82 ,72 , 92,93 ,82 , 100
Matabeleland North,32 ,28 , 37,42 ,37 , 48,48 ,42 , 54,56 ,49 , 63,62 ,54 , 70,67 ,59 , 76,70 ,62 , 80,78 ,69 , 89,74 ,65 , 85,86 ,76 , 100
Matabeleland South,32 ,27 , 35,41 ,36 , 46,47 ,41 , 52,54 ,47 , 59,59 ,52 , 65,65 ,58 , 71,70 ,63 , 77,81 ,73 , 89,82 ,74 , 91,87 ,79 , 96
Midlands,34 ,30 , 39,44 ,38 , 50,49 ,43 , 55,55 ,49 , 63,60 ,53 , 68,64 ,57 , 72,66 ,59 , 75,74 ,65 , 83,69 ,61 , 78,77 ,67 , 86
National,30 ,26,35,40 ,35,46,46 ,40,52,53 ,47,61,59 ,52,68,64 ,56,74,70 ,61,80,79 ,68,90,74 ,64,84,86 ,75,98
