States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,34 ,28 , 39,44 ,35 , 50,54 ,43 , 62,56 ,45 , 65,71 ,55 , 82,100 ,94 , 100,100 ,96 , 100,100 ,80 , 100,59 ,42 , 73,67 ,48 , 85
Harare,17 ,14 , 20,22 ,18 , 26,29 ,23 , 34,31 ,24 , 36,39 ,30 , 47,39 ,30 , 48,55 ,42 , 67,68 ,51 , 84,51 ,38 , 63,63 ,46 , 80
Manicaland,25 ,20 , 29,31 ,25 , 36,39 ,31 , 45,41 ,33 , 48,51 ,41 , 60,53 ,43 , 62,62 ,50 , 73,67 ,54 , 80,60 ,48 , 71,73 ,58 , 88
Mashonaland Central,21 ,17 , 24,27 ,22 , 32,34 ,28 , 41,37 ,30 , 44,47 ,39 , 56,68 ,56 , 82,82 ,69 , 100,92 ,77 , 100,78 ,65 , 96,100 ,82 , 100
Mashonaland East,23 ,19 , 25,28 ,23 , 32,34 ,28 , 39,35 ,29 , 40,43 ,34 , 49,46 ,36 , 53,48 ,38 , 57,55 ,42 , 65,46 ,35 , 55,55 ,41 , 67
Mashonaland West,22 ,18 , 24,28 ,23 , 31,35 ,29 , 40,36 ,30 , 42,46 ,38 , 54,56 ,46 , 67,64 ,53 , 78,75 ,62 , 92,54 ,44 , 67,71 ,58 , 90
Masvingo,31 ,26 , 35,38 ,32 , 43,46 ,39 , 53,47 ,40 , 55,58 ,49 , 68,61 ,52 , 72,70 ,60 , 83,75 ,63 , 89,68 ,58 , 82,81 ,68 , 98
Matabeleland North,29 ,25 , 33,37 ,31 , 42,46 ,38 , 52,46 ,40 , 54,57 ,49 , 66,65 ,55 , 76,69 ,57 , 81,70 ,57 , 83,59 ,48 , 71,72 ,57 , 88
Matabeleland South,27 ,23 , 31,35 ,29 , 39,43 ,36 , 48,44 ,38 , 51,55 ,47 , 64,65 ,55 , 76,70 ,60 , 83,76 ,65 , 91,74 ,63 , 88,78 ,67 , 94
Midlands,28 ,24 , 32,36 ,30 , 41,44 ,37 , 51,45 ,38 , 52,56 ,47 , 64,62 ,51 , 72,71 ,59 , 84,75 ,61 , 89,59 ,47 , 70,70 ,57 , 85
National,25 ,20,30,31 ,25,38,39 ,31,48,40 ,32,50,50 ,40,62,59 ,47,72,67 ,53,82,73 ,58,89,59 ,47,72,71 ,56,87
