States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,65 ,51 , 79,58 ,45 , 67,89 ,70 , 100,97 ,75 , 100,93 ,70 , 100,73 ,56 , 85,78 ,59 , 92,82 ,63 , 98,92 ,69 , 100,99 ,74 , 100
Harare,54 ,42 , 65,55 ,42 , 66,83 ,65 , 99,86 ,67 , 100,89 ,70 , 100,97 ,74 , 100,100 ,77 , 100,100 ,80 , 100,100 ,80 , 100,100 ,85 , 100
Manicaland,21 ,16 , 25,37 ,28 , 44,70 ,54 , 82,64 ,49 , 75,84 ,63 , 98,85 ,63 , 100,92 ,68 , 100,95 ,71 , 100,95 ,70 , 100,91 ,67 , 100
Mashonaland Central,17 ,13 , 20,62 ,48 , 74,100 ,80 , 100,100 ,79 , 100,100 ,87 , 100,100 ,79 , 100,100 ,87 , 100,100 ,95 , 100,100 ,92 , 100,100 ,98 , 100
Mashonaland East,24 ,19 , 29,45 ,35 , 52,53 ,42 , 63,61 ,48 , 72,68 ,53 , 77,63 ,49 , 75,73 ,57 , 85,73 ,57 , 85,72 ,57 , 86,71 ,55 , 86
Mashonaland West,21 ,17 , 26,54 ,42 , 64,92 ,72 , 100,100 ,81 , 100,77 ,59 , 90,83 ,63 , 99,91 ,68 , 100,96 ,72 , 100,100 ,80 , 100,100 ,78 , 100
Masvingo,31 ,25 , 36,40 ,32 , 47,81 ,64 , 96,76 ,60 , 89,77 ,60 , 90,86 ,67 , 100,88 ,68 , 100,91 ,70 , 100,90 ,69 , 100,84 ,65 , 100
Matabeleland North,27 ,21 , 31,62 ,50 , 72,74 ,61 , 85,62 ,50 , 71,75 ,61 , 87,70 ,55 , 81,74 ,59 , 87,79 ,62 , 93,77 ,60 , 92,75 ,57 , 91
Matabeleland South,22 ,17 , 25,65 ,52 , 75,85 ,70 , 100,80 ,67 , 94,83 ,68 , 96,90 ,74 , 100,94 ,78 , 100,95 ,78 , 100,93 ,76 , 100,91 ,74 , 100
Midlands,30 ,24 , 36,58 ,45 , 67,84 ,66 , 96,76 ,59 , 87,79 ,61 , 91,77 ,59 , 89,78 ,60 , 91,78 ,60 , 90,80 ,61 , 93,79 ,60 , 93
National,30 ,23,36,52 ,40,62,79 ,61,96,79 ,60,96,81 ,62,98,81 ,62,98,87 ,66,100,90 ,69,100,91 ,69,100,91 ,69,100
