States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,29 ,25 , 34,36 ,30 , 41,42 ,36 , 49,58 ,49 , 66,59 ,50 , 67,62 ,53 , 71,61 ,52 , 69,70 ,60 , 80,61 ,52 , 70,69 ,58 , 79
Harare,19 ,16 , 23,25 ,21 , 29,30 ,25 , 35,41 ,35 , 48,43 ,37 , 50,49 ,42 , 57,58 ,49 , 67,65 ,57 , 76,60 ,52 , 70,73 ,62 , 85
Manicaland,27 ,22 , 31,33 ,27 , 38,39 ,33 , 45,53 ,45 , 61,53 ,45 , 60,62 ,53 , 70,65 ,55 , 74,76 ,65 , 88,66 ,57 , 76,86 ,73 , 99
Mashonaland Central,32 ,27 , 38,39 ,33 , 46,46 ,39 , 55,63 ,54 , 75,69 ,58 , 81,78 ,66 , 91,87 ,75 , 100,97 ,82 , 100,85 ,73 , 100,100 ,97 , 100
Mashonaland East,23 ,20 , 26,28 ,24 , 32,33 ,29 , 38,45 ,39 , 51,47 ,41 , 53,49 ,42 , 55,49 ,43 , 56,59 ,51 , 67,55 ,47 , 63,68 ,59 , 79
Mashonaland West,28 ,24 , 32,34 ,29 , 39,41 ,35 , 46,56 ,48 , 63,58 ,50 , 66,64 ,56 , 74,70 ,61 , 80,86 ,75 , 99,70 ,62 , 81,96 ,84 , 100
Masvingo,32 ,28 , 37,39 ,33 , 45,46 ,39 , 52,61 ,53 , 70,58 ,50 , 66,62 ,54 , 71,67 ,57 , 76,72 ,61 , 82,70 ,61 , 81,85 ,74 , 97
Matabeleland North,30 ,25 , 34,36 ,31 , 41,42 ,36 , 48,56 ,48 , 65,58 ,49 , 66,64 ,56 , 73,66 ,58 , 76,77 ,67 , 89,72 ,63 , 83,85 ,74 , 99
Matabeleland South,27 ,23 , 30,32 ,27 , 36,37 ,32 , 41,50 ,43 , 55,49 ,42 , 54,57 ,50 , 63,60 ,52 , 66,68 ,60 , 75,67 ,59 , 75,76 ,67 , 85
Midlands,31 ,27 , 35,37 ,32 , 42,42 ,36 , 47,55 ,47 , 62,54 ,47 , 61,57 ,50 , 65,60 ,52 , 68,68 ,59 , 77,61 ,53 , 69,72 ,62 , 82
National,27 ,23,31,33 ,28,38,38 ,33,44,52 ,45,60,53 ,46,61,58 ,50,67,62 ,54,72,72 ,62,83,65 ,56,75,80 ,69,92
