States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,35 ,30 , 39,46 ,40 , 51,53 ,46 , 59,61 ,53 , 69,69 ,60 , 77,77 ,66 , 85,76 ,66 , 85,81 ,70 , 91,70 ,61 , 80,78 ,67 , 90
Harare,22 ,18 , 25,29 ,25 , 34,35 ,30 , 40,41 ,35 , 47,47 ,40 , 54,51 ,43 , 58,60 ,52 , 69,70 ,60 , 80,65 ,56 , 75,76 ,66 , 89
Manicaland,29 ,25 , 33,38 ,33 , 43,45 ,38 , 50,52 ,45 , 58,58 ,50 , 65,66 ,57 , 74,72 ,62 , 81,81 ,69 , 91,73 ,63 , 84,88 ,76 , 100
Mashonaland Central,34 ,30 , 40,45 ,39 , 54,53 ,46 , 62,62 ,54 , 73,70 ,61 , 83,81 ,70 , 95,94 ,81 , 100,100 ,87 , 100,96 ,83 , 100,100 ,100 , 100
Mashonaland East,26 ,23 , 29,34 ,30 , 38,39 ,34 , 44,45 ,40 , 51,51 ,44 , 57,54 ,47 , 60,54 ,47 , 61,65 ,56 , 73,61 ,53 , 69,72 ,61 , 82
Mashonaland West,31 ,27 , 35,41 ,36 , 47,48 ,42 , 54,56 ,49 , 63,63 ,56 , 72,71 ,63 , 81,79 ,70 , 90,92 ,81 , 100,76 ,67 , 87,98 ,86 , 100
Masvingo,35 ,30 , 39,45 ,40 , 51,52 ,46 , 58,60 ,53 , 67,67 ,59 , 75,69 ,61 , 77,76 ,67 , 85,82 ,72 , 91,81 ,71 , 91,92 ,81 , 100
Matabeleland North,32 ,28 , 36,42 ,36 , 47,48 ,42 , 54,55 ,48 , 62,61 ,54 , 69,67 ,59 , 76,70 ,62 , 80,78 ,69 , 89,73 ,64 , 84,85 ,74 , 99
Matabeleland South,31 ,27 , 34,41 ,35 , 45,46 ,41 , 51,53 ,47 , 58,59 ,52 , 65,65 ,58 , 72,70 ,63 , 77,80 ,72 , 89,82 ,74 , 90,87 ,79 , 97
Midlands,34 ,30 , 38,43 ,38 , 49,48 ,42 , 54,55 ,48 , 61,60 ,53 , 67,64 ,56 , 71,67 ,59 , 75,74 ,65 , 84,69 ,60 , 77,77 ,67 , 86
National,30 ,26,34,39 ,34,45,45 ,39,52,52 ,45,60,59 ,51,67,64 ,56,73,70 ,60,80,78 ,68,90,73 ,63,83,85 ,74,97
