States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,44 ,35 , 55,48 ,38 , 58,51 ,41 , 63,55 ,43 , 68,57 ,43 , 71
Adamawa,61 ,45 , 85,62 ,46 , 86,66 ,49 , 90,72 ,53 , 98,78 ,57 , 100
Akwa Ibom,34 ,28 , 39,35 ,29 , 41,37 ,30 , 43,38 ,31 , 45,41 ,33 , 49
Anambra,44 ,34 , 59,50 ,39 , 65,57 ,44 , 75,64 ,49 , 85,68 ,52 , 92
Bauchi,58 ,34 , 96,59 ,34 , 98,62 ,36 , 100,71 ,42 , 100,75 ,46 , 100
Bayelsa,33 ,26 , 42,36 ,28 , 46,39 ,30 , 49,41 ,31 , 53,43 ,32 , 56
Benue,81 ,65 , 96,86 ,68 , 100,87 ,69 , 100,88 ,69 , 100,88 ,70 , 100
Borno,47 ,28 , 85,47 ,28 , 84,46 ,27 , 81,46 ,26 , 79,45 ,26 , 78
Cross River,65 ,52 , 80,68 ,55 , 84,71 ,56 , 87,74 ,58 , 92,82 ,64 , 100
Delta,34 ,26 , 44,37 ,29 , 48,39 ,30 , 51,42 ,32 , 55,44 ,34 , 58
Ebonyi,50 ,39 , 65,53 ,41 , 69,56 ,43 , 73,59 ,46 , 76,61 ,47 , 79
Edo,45 ,35 , 59,47 ,37 , 60,48 ,38 , 60,49 ,39 , 61,50 ,40 , 64
Ekiti,40 ,29 , 61,43 ,31 , 63,45 ,32 , 66,46 ,33 , 68,48 ,34 , 72
Enugu,61 ,48 , 78,65 ,50 , 83,67 ,52 , 85,69 ,52 , 88,70 ,52 , 89
FCT Abuja,98 ,67 , 100,100 ,79 , 100,100 ,76 , 100,100 ,75 , 100,94 ,64 , 100
Gombe,100 ,73 , 100,100 ,73 , 100,100 ,73 , 100,100 ,72 , 100,100 ,82 , 100
Imo,47 ,36 , 61,50 ,38 , 64,52 ,38 , 66,53 ,38 , 67,55 ,39 , 70
Jigawa,41 ,25 , 68,46 ,28 , 77,55 ,33 , 92,59 ,36 , 100,63 ,38 , 100
Kaduna,88 ,64 , 100,87 ,63 , 100,87 ,62 , 100,86 ,60 , 100,86 ,60 , 100
Kano,50 ,33 , 78,54 ,35 , 83,58 ,37 , 89,62 ,40 , 95,64 ,42 , 99
Katsina,66 ,32 , 100,70 ,35 , 100,69 ,34 , 100,69 ,34 , 100,68 ,34 , 100
Kebbi,53 ,34 , 84,53 ,34 , 82,53 ,34 , 81,53 ,34 , 82,53 ,35 , 82
Kogi,48 ,34 , 71,49 ,35 , 74,51 ,36 , 77,53 ,38 , 80,55 ,39 , 84
Kwara,53 ,34 , 76,54 ,34 , 75,53 ,34 , 73,52 ,34 , 71,52 ,33 , 71
Lagos,58 ,46 , 75,62 ,49 , 80,64 ,51 , 83,66 ,52 , 86,69 ,53 , 90
Nassarawa,55 ,42 , 69,63 ,49 , 79,69 ,53 , 89,73 ,56 , 96,75 ,58 , 100
Niger,65 ,43 , 95,66 ,44 , 96,67 ,44 , 96,68 ,45 , 97,69 ,46 , 98
Ogun,37 ,26 , 50,40 ,28 , 54,42 ,29 , 58,44 ,31 , 62,47 ,32 , 67
Ondo,43 ,30 , 64,44 ,32 , 66,46 ,33 , 68,48 ,34 , 69,50 ,36 , 72
Osun,26 ,18 , 39,27 ,19 , 41,28 ,20 , 42,29 ,20 , 43,30 ,22 , 45
Oyo,45 ,32 , 63,47 ,34 , 66,49 ,35 , 68,50 ,36 , 71,52 ,38 , 74
Plateau,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Rivers,37 ,30 , 46,40 ,32 , 48,41 ,33 , 51,42 ,34 , 53,43 ,34 , 56
Sokoto,100 ,55 , 100,100 ,59 , 100,90 ,42 , 100,84 ,40 , 100,79 ,37 , 100
Taraba,68 ,55 , 83,68 ,56 , 84,69 ,56 , 86,71 ,58 , 89,73 ,59 , 91
Yobe,69 ,34 , 100,72 ,35 , 100,74 ,36 , 100,81 ,40 , 100,98 ,49 , 100
Zamfara,55 ,30 , 100,54 ,29 , 98,53 ,28 , 95,52 ,27 , 92,51 ,26 , 89
National,54 ,40,73,58 ,43,78,60 ,44,80,61 ,46,83,63 ,47,85
