States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,45 ,33 , 59,51 ,37 , 68,57 ,41 , 76,61 ,44 , 82,65 ,46 , 88
Cidade de Maputo,88 ,76 , 98,99 ,86 , 100,98 ,84 , 100,100 ,90 , 100,100 ,95 , 100
Gaza,73 ,64 , 83,79 ,68 , 90,84 ,72 , 96,88 ,74 , 100,91 ,76 , 100
Inhambane,60 ,49 , 73,66 ,53 , 82,73 ,58 , 91,79 ,62 , 100,82 ,64 , 100
Manica,65 ,54 , 80,69 ,58 , 85,74 ,61 , 91,77 ,63 , 95,79 ,64 , 99
Maputo,65 ,56 , 71,68 ,59 , 76,72 ,62 , 81,75 ,64 , 84,78 ,66 , 88
Nampula,45 ,37 , 56,49 ,39 , 61,53 ,42 , 66,58 ,45 , 74,62 ,48 , 80
Niassa,55 ,41 , 74,57 ,42 , 78,59 ,44 , 83,62 ,45 , 87,64 ,45 , 91
Sofala,58 ,48 , 68,62 ,52 , 73,66 ,55 , 78,69 ,57 , 83,72 ,59 , 86
Tete,69 ,56 , 85,72 ,58 , 89,75 ,60 , 94,78 ,62 , 99,81 ,64 , 100
Zambezia,53 ,45 , 66,59 ,50 , 73,65 ,54 , 82,71 ,59 , 91,76 ,61 , 98
National,61 ,49,75,66 ,53,81,70 ,56,87,74 ,59,92,77 ,62,96
