States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,31 ,23 , 41,37 ,27 , 49,42 ,30 , 56,46 ,32 , 63,50 ,35 , 69
Cidade de Maputo,84 ,72 , 97,89 ,76 , 100,90 ,76 , 100,96 ,81 , 100,94 ,80 , 100
Gaza,65 ,55 , 75,71 ,60 , 82,77 ,63 , 89,81 ,67 , 95,84 ,69 , 100
Inhambane,54 ,44 , 66,59 ,48 , 74,67 ,53 , 85,74 ,56 , 96,76 ,58 , 100
Manica,54 ,44 , 67,59 ,47 , 72,64 ,51 , 79,68 ,54 , 84,71 ,56 , 89
Maputo,58 ,50 , 65,61 ,52 , 70,65 ,55 , 74,68 ,58 , 79,71 ,60 , 82
Nampula,32 ,25 , 40,35 ,28 , 44,39 ,30 , 49,43 ,33 , 55,47 ,36 , 61
Niassa,35 ,26 , 47,36 ,26 , 50,38 ,27 , 52,41 ,29 , 57,43 ,30 , 61
Sofala,45 ,38 , 54,50 ,41 , 59,54 ,44 , 64,58 ,47 , 69,61 ,49 , 74
Tete,63 ,51 , 79,66 ,53 , 81,68 ,54 , 85,71 ,56 , 90,75 ,59 , 95
Zambezia,42 ,35 , 52,48 ,40 , 60,54 ,44 , 68,60 ,49 , 77,65 ,52 , 85
National,50 ,39,63,54 ,43,69,59 ,46,74,63 ,50,79,66 ,52,83
