States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cabo Delgado,1036,3152,4353,5926,6481,6881,7913,7526,7978,7671
Cidade de Maputo,5245,9210,16 950,8718,9170,8949,7783,7995,7857,7329
Gaza,3443,7793,9336,10 179,11 113,10 455,9320,11 467,10 329,10 076
Inhambane,1245,2830,4046,5534,5258,4980,4981,6110,5593,5219
Manica,598,1032,3412,5026,6908,7629,7714,8179,8333,9161
Maputo,3039,6053,4693,7187,10 794,11 270,10 107,11 035,10 508,10 469
Nampula,3114,7699,7958,7573,8966,10 272,8908,11 869,13 352,14 150
Niassa,200,1070,2152,2194,2627,2935,3226,3790,3684,4083
Sofala,970,2044,9206,10 850,10 619,12 123,11 428,12 501,11 967,12 019
Tete,354,540,3777,4026,5880,6098,5545,5663,5610,6156
Zambezia,3100,7340,11 181,16 553,17 063,18 231,18 402,21 623,24 253,25 949
National,22 344,48 763,77 064,83 766,94 879,99 823,95 327,107 758,109 464,112 282
